"","Data","startTyg","Bora-Komorowskiego","Bulwary","Dworzec Główny","Klimeckiego","Kopernika","Kotlarska","Mogilska","Monte Cassino","Nowohucka","Smoleńsk","Tyniecka","Wadowicka","Wielicka","temp_max","temp_min","temp_avg","deszcz","snieg","Rodzaj_opadu","Jaki_dzien","Wolne"
"1",2016-11-18,2016-11-14,NA,421,NA,NA,NA,560,907,NA,NA,NA,NA,212,329,13.3,-0.2,5.8,0,0,"s","roboczy",FALSE
"2",2016-11-19,2016-11-14,NA,328,NA,NA,NA,232,438,NA,NA,NA,NA,206,151,12.9,2.1,8.4,2.8,0,"d","weekend",TRUE
"3",2016-11-20,2016-11-14,NA,539,NA,NA,NA,285,549,NA,NA,NA,NA,212,182,14.3,2.5,7.3,0,0,"s","weekend",TRUE
"4",2016-11-21,2016-11-21,NA,1002,NA,NA,NA,953,1501,NA,NA,NA,NA,382,479,19,3.6,9.6,0,0,"s","roboczy",FALSE
"5",2016-11-22,2016-11-21,NA,1132,NA,NA,NA,1039,1626,NA,NA,NA,NA,386,502,15.3,3,7.7,0,0,"s","roboczy",FALSE
"6",2016-11-23,2016-11-21,NA,972,NA,NA,NA,996,1555,NA,NA,NA,NA,319,440,12.3,1.3,5.4,0,0,"s","roboczy",FALSE
"7",2016-11-24,2016-11-21,NA,701,NA,NA,NA,787,1270,NA,NA,NA,NA,255,358,7.8,0.3,5.3,0.5,0,"d","roboczy",FALSE
"8",2016-11-25,2016-11-21,NA,454,NA,NA,NA,551,906,NA,NA,NA,NA,158,222,7.4,1.1,4.5,0,0,"s","roboczy",FALSE
"9",2016-11-26,2016-11-21,NA,259,NA,NA,NA,265,385,NA,NA,NA,NA,107,109,4.7,-1.6,2.1,0,0.2,"s","weekend",TRUE
"10",2016-11-27,2016-11-21,NA,127,NA,NA,NA,102,246,NA,NA,NA,NA,117,58,8.3,1.3,4.4,0,2.6,"s","weekend",TRUE
"11",2016-11-28,2016-11-28,NA,357,NA,NA,NA,493,804,NA,NA,NA,NA,155,204,2.3,-1.5,-0.7,0,0.3,"s","roboczy",FALSE
"12",2016-11-29,2016-11-28,NA,336,NA,NA,NA,497,801,NA,NA,NA,NA,219,194,-0.1,-9,-2,0,0.1,"s","roboczy",FALSE
"13",2016-11-30,2016-11-28,NA,370,NA,NA,NA,467,821,NA,NA,NA,NA,252,199,1.3,-1.9,-0.4,0,1.7,"s","roboczy",FALSE
"14",2016-12-01,2016-11-28,NA,233,NA,NA,NA,311,494,NA,NA,NA,NA,172,122,1.1,-1.9,0.6,0,15.3,"s","roboczy",FALSE
"15",2016-12-02,2016-11-28,NA,278,NA,NA,NA,375,553,NA,NA,NA,NA,185,138,4,0.7,2,0,0.8,"s","roboczy",FALSE
"16",2016-12-03,2016-11-28,NA,185,NA,NA,NA,165,298,NA,NA,NA,NA,72,55,1.8,-0.4,0.4,0,0.1,"s","weekend",TRUE
"17",2016-12-04,2016-11-28,NA,251,NA,NA,NA,183,291,NA,NA,NA,NA,93,78,0.9,-3.8,-2,0,0,"s","weekend",TRUE
"18",2016-12-05,2016-12-05,NA,382,NA,NA,NA,475,734,NA,NA,NA,NA,272,185,2.1,-8.4,-3.6,0,0,"s","roboczy",FALSE
"19",2016-12-06,2016-12-05,NA,361,NA,NA,NA,482,757,NA,NA,NA,NA,235,215,0.1,-2.9,-1.2,0,0.2,"s","roboczy",FALSE
"20",2016-12-07,2016-12-05,NA,405,NA,NA,NA,513,803,NA,NA,NA,NA,237,204,2.1,-2.5,-0.6,0,0,"s","roboczy",FALSE
"21",2016-12-08,2016-12-05,NA,436,NA,NA,NA,530,839,NA,NA,NA,NA,304,206,7,-3.8,3.6,0.3,0,"d","roboczy",FALSE
"22",2016-12-09,2016-12-05,NA,400,NA,NA,NA,498,812,NA,NA,NA,NA,291,227,7.1,3,5.7,0,0,"s","roboczy",FALSE
"23",2016-12-10,2016-12-05,NA,256,NA,NA,NA,199,385,NA,NA,NA,NA,94,134,10.7,5.2,8,0.1,0,"d","weekend",TRUE
"24",2016-12-11,2016-12-05,NA,178,NA,NA,NA,113,231,NA,NA,NA,NA,36,69,9.3,5.6,7,5.3,0,"d","weekend",TRUE
"25",2016-12-12,2016-12-12,NA,249,NA,NA,NA,361,612,NA,NA,NA,NA,127,162,5.7,-3,1.5,1,0,"d","roboczy",FALSE
"26",2016-12-13,2016-12-12,NA,336,NA,NA,NA,439,788,NA,NA,NA,NA,204,184,-1.2,-8.4,-4.8,0,0,"s","roboczy",FALSE
"27",2016-12-14,2016-12-12,NA,286,NA,NA,NA,413,697,NA,NA,NA,NA,186,169,0.5,-3.8,-0.5,0,0.2,"s","roboczy",FALSE
"28",2016-12-15,2016-12-12,NA,278,NA,NA,NA,403,705,NA,NA,NA,NA,208,184,1.9,0.3,0.9,0,0,"s","roboczy",FALSE
"29",2016-12-16,2016-12-12,NA,345,NA,NA,NA,429,755,NA,NA,NA,NA,182,190,1.9,-5.2,-2,0,0,"s","roboczy",FALSE
"30",2016-12-17,2016-12-12,NA,206,NA,NA,NA,153,338,NA,NA,NA,NA,88,106,2.3,-6.9,-2.9,0,0,"s","weekend",TRUE
"31",2016-12-18,2016-12-12,NA,104,NA,NA,NA,96,193,NA,NA,NA,NA,71,51,0.6,-3.2,-0.6,0,0.2,"s","weekend",TRUE
"32",2016-12-19,2016-12-19,NA,319,NA,NA,NA,396,738,NA,NA,NA,NA,233,181,1.7,-0.2,0.2,0,0,"s","roboczy",FALSE
"33",2016-12-20,2016-12-19,NA,372,NA,NA,NA,501,788,NA,NA,NA,NA,231,227,2.6,-2.4,-1.1,0,0,"s","roboczy",FALSE
