Data;Al. USA - południe;Al. USA - północ;Banacha;Bazyliańska;Belwederska;Dworzec Wilenski (al. Solidarności);Dworzec Wileński Nowy( Targowa);Marszałkowska;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Rowery;Wybrzeże Helskie;Wysockiego;Świętokrzyska - Emilii Plater, płn;Świętokrzyska - Emilii Plater, płd;Żwirki i Wigury/Trojdena wsch.;Żwirki i Wigury/Trojdena zach.
2017-03-20;139;74;1068;65;343;322;316;418;285;194;88;272;146;29;471;161;777;717;486;167
2017-03-21;241;157;1566;81;674;589;508;645;609;384;157;480;334;124;754;259;1195;1011;782;263
2017-03-22;180;93;1184;68;413;400;402;514;375;251;118;328;161;42;553;226;944;824;568;201
2017-03-23;211;127;1558;67;541;552;438;593;454;260;90;385;210;60;778;195;1073;981;731;264
2017-03-24;324;150;1751;89;719;635;643;722;665;483;102;550;354;152;985;299;1293;1193;869;318
2017-03-25;319;190;813;81;609;598;514;481;630;554;259;601;792;367;823;259;846;717;467;144
2017-03-26;481;337;1245;134;775;714;679;744;1255;719;360;871;1372;723;1371;496;1222;901;813;202
2017-03-27;568;369;2623;142;1005;994;921;958;993;236;115;896;674;372;1484;455;1955;1609;1337;492
2017-03-28;632;353;2919;154;1255;1157;966;1122;1234;400;174;1132;754;385;1690;598;2092;1790;1612;462
2017-03-29;265;189;1992;79;732;673;626;703;543;271;143;519;252;100;964;263;1491;1226;985;363
2017-03-30;337;187;1899;86;732;686;607;709;632;238;103;538;254;130;897;284;1461;1275;999;345
2017-03-31;663;393;2698;162;1213;1069;1072;1052;1157;369;125;1211;1027;450;1604;566;2157;1851;1399;465
2017-04-01;1310;775;3373;391;2031;1825;1814;1356;4153;681;309;3748;3688;2193;3818;1122;3224;2340;2234;456
2017-04-02;1505;859;3833;413;2178;2217;1807;1575;5390;899;438;4271;4336;2971;4898;1480;3414;2509;2608;507
2017-04-03;657;381;3195;217;1326;1305;1098;1238;1166;230;97;1133;614;332;1806;621;2448;2083;1805;567
2017-04-04;896;522;3821;233;1615;1563;1276;1369;1575;397;174;1557;931;579;2182;738;2858;2410;2211;679
2017-04-05;688;378;3391;167;1380;1364;1210;1214;1268;309;142;1171;795;430;1914;610;2579;2163;1893;606
2017-04-06;164;95;1528;36;471;493;456;464;340;271;110;329;137;35;656;160;902;767;681;264
2017-04-07;290;137;1768;77;638;628;646;632;439;408;135;459;210;86;768;232;1381;1155;896;329
2017-04-08;613;387;1977;184;1086;961;1062;931;1463;533;210;1230;1462;811;1793;582;1848;1336;1202;328
2017-04-09;413;232;1204;110;705;622;676;617;1006;661;286;722;942;487;1108;418;1029;867;775;215
2017-04-10;975;551;4085;274;1874;1641;1403;1543;1976;270;113;1952;1122;656;2388;795;3111;2549;2260;666
2017-04-11;330;178;2274;83;879;752;665;805;571;452;192;653;257;105;1039;277;1684;1425;1100;396
2017-04-12;181;98;1391;50;450;439;411;431;242;322;146;335;104;24;526;129;840;727;698;256
2017-04-13;179;70;1016;36;362;383;364;430;259;280;119;244;154;33;392;132;755;693;608;181
2017-04-14;117;93;724;25;282;309;310;400;177;481;135;180;126;20;324;103;609;522;366;156
2017-04-15;101;68;297;42;177;205;274;163;249;588;223;157;273;94;305;116;305;209;206;57
2017-04-16;82;64;174;24;106;126;118;91;195;747;293;133;222;65;186;94;203;135;157;46
2017-04-17;275;148;507;91;420;285;276;285;675;262;103;402;742;342;604;250;468;353;477;115
2017-04-18;134;76;736;46;240;351;355;375;249;466;176;234;154;52;446;155;629;541;362;138
2017-04-19;243;117;1490;67;573;566;499;636;441;331;145;411;309;113;726;187;1121;958;763;228
;;;;;;;;;;;;;;;;;;;;
