"","Data","startTyg","Bora-Komorowskiego","Bulwary","Dworzec Główny","Klimeckiego","Kopernika","Kotlarska","Mogilska","Monte Cassino","Nowohucka","Smoleńsk","Tyniecka","Wadowicka","Wielicka"
"1",2016-11-18,2016-11-14,NA,421,NA,NA,NA,560,907,NA,NA,NA,NA,212,329
"2",2016-11-19,2016-11-14,NA,328,NA,NA,NA,232,438,NA,NA,NA,NA,206,151
"3",2016-11-20,2016-11-14,NA,539,NA,NA,NA,285,549,NA,NA,NA,NA,212,182
"4",2016-11-21,2016-11-21,NA,1002,NA,NA,NA,953,1501,NA,NA,NA,NA,382,479
"5",2016-11-22,2016-11-21,NA,1132,NA,NA,NA,1039,1626,NA,NA,NA,NA,386,502
"6",2016-11-23,2016-11-21,NA,972,NA,NA,NA,996,1555,NA,NA,NA,NA,319,440
"7",2016-11-24,2016-11-21,NA,701,NA,NA,NA,787,1270,NA,NA,NA,NA,255,358
"8",2016-11-25,2016-11-21,NA,454,NA,NA,NA,551,906,NA,NA,NA,NA,158,222
"9",2016-11-26,2016-11-21,NA,259,NA,NA,NA,265,385,NA,NA,NA,NA,107,109
"10",2016-11-27,2016-11-21,NA,127,NA,NA,NA,102,246,NA,NA,NA,NA,117,58
"11",2016-11-28,2016-11-28,NA,357,NA,NA,NA,493,804,NA,NA,NA,NA,155,204
"12",2016-11-29,2016-11-28,NA,336,NA,NA,NA,497,801,NA,NA,NA,NA,219,194
"13",2016-11-30,2016-11-28,NA,370,NA,NA,NA,467,821,NA,NA,NA,NA,252,199
"14",2016-12-01,2016-11-28,NA,233,NA,NA,NA,311,494,NA,NA,NA,NA,172,122
"15",2016-12-02,2016-11-28,NA,278,NA,NA,NA,375,553,NA,NA,NA,NA,185,138
"16",2016-12-03,2016-11-28,NA,185,NA,NA,NA,165,298,NA,NA,NA,NA,72,55
"17",2016-12-04,2016-11-28,NA,251,NA,NA,NA,183,291,NA,NA,NA,NA,93,78
"18",2016-12-05,2016-12-05,NA,382,NA,NA,NA,475,734,NA,NA,NA,NA,272,185
"19",2016-12-06,2016-12-05,NA,361,NA,NA,NA,482,757,NA,NA,NA,NA,235,215
"20",2016-12-07,2016-12-05,NA,405,NA,NA,NA,513,803,NA,NA,NA,NA,237,204
"21",2016-12-08,2016-12-05,NA,436,NA,NA,NA,530,839,NA,NA,NA,NA,304,206
"22",2016-12-09,2016-12-05,NA,400,NA,NA,NA,498,812,NA,NA,NA,NA,291,227
"23",2016-12-10,2016-12-05,NA,256,NA,NA,NA,199,385,NA,NA,NA,NA,94,134
"24",2016-12-11,2016-12-05,NA,178,NA,NA,NA,113,231,NA,NA,NA,NA,36,69
"25",2016-12-12,2016-12-12,NA,249,NA,NA,NA,361,612,NA,NA,NA,NA,127,162
"26",2016-12-13,2016-12-12,NA,336,NA,NA,NA,439,788,NA,NA,NA,NA,204,184
"27",2016-12-14,2016-12-12,NA,286,NA,NA,NA,413,697,NA,NA,NA,NA,186,169
"28",2016-12-15,2016-12-12,NA,278,NA,NA,NA,403,705,NA,NA,NA,NA,208,184
"29",2016-12-16,2016-12-12,NA,345,NA,NA,NA,429,755,NA,NA,NA,NA,182,190
"30",2016-12-17,2016-12-12,NA,206,NA,NA,NA,153,338,NA,NA,NA,NA,88,106
"31",2016-12-18,2016-12-12,NA,104,NA,NA,NA,96,193,NA,NA,NA,NA,71,51
"32",2016-12-19,2016-12-19,NA,319,NA,NA,NA,396,738,NA,NA,NA,NA,233,181
"33",2016-12-20,2016-12-19,NA,372,NA,NA,NA,501,788,NA,NA,NA,NA,231,227
"34",2016-12-21,2016-12-19,NA,303,NA,NA,NA,493,759,NA,NA,NA,NA,260,209
"35",2016-12-22,2016-12-19,NA,283,NA,NA,NA,417,702,NA,NA,NA,NA,251,178
"36",2016-12-23,2016-12-19,NA,199,NA,NA,NA,302,456,NA,NA,NA,NA,146,125
"37",2016-12-24,2016-12-19,NA,51,NA,NA,NA,50,95,NA,NA,NA,NA,44,40
"38",2016-12-25,2016-12-19,NA,39,NA,NA,NA,15,43,NA,NA,NA,NA,8,14
"39",2016-12-26,2016-12-26,NA,82,NA,NA,NA,47,93,NA,NA,NA,NA,37,28
"40",2016-12-27,2016-12-26,NA,130,NA,NA,NA,165,317,NA,NA,NA,NA,125,81
"41",2016-12-28,2016-12-26,NA,258,NA,NA,NA,316,525,NA,NA,NA,NA,142,116
"42",2016-12-29,2016-12-26,NA,284,NA,NA,NA,303,552,NA,NA,NA,NA,172,141
"43",2016-12-30,2016-12-26,NA,262,NA,NA,NA,284,495,NA,NA,NA,NA,143,134
"44",2016-12-31,2016-12-26,NA,134,NA,NA,NA,119,210,NA,NA,NA,NA,65,76
"45",2017-01-01,2016-12-26,NA,201,NA,NA,NA,80,172,NA,NA,NA,NA,74,50
