"","Data","Miejsce","Liczba_rowerow"
"1","2019-03-20","Banacha/Żwirki i Wigury (display)",NA
"2","2019-03-21","Banacha/Żwirki i Wigury (display)",NA
"3","2019-03-22","Banacha/Żwirki i Wigury (display)",NA
"4","2019-03-23","Banacha/Żwirki i Wigury (display)",NA
"5","2019-03-24","Banacha/Żwirki i Wigury (display)",NA
"6","2019-03-25","Banacha/Żwirki i Wigury (display)",NA
"7","2019-03-26","Banacha/Żwirki i Wigury (display)",NA
"8","2019-03-27","Banacha/Żwirki i Wigury (display)",NA
"9","2019-03-28","Banacha/Żwirki i Wigury (display)",1079
"10","2019-03-29","Banacha/Żwirki i Wigury (display)",0
"11","2019-03-30","Banacha/Żwirki i Wigury (display)",0
"12","2019-03-31","Banacha/Żwirki i Wigury (display)",0
"13","2019-04-01","Banacha/Żwirki i Wigury (display)",1207
"14","2019-04-02","Banacha/Żwirki i Wigury (display)",2401
"15","2019-04-03","Banacha/Żwirki i Wigury (display)",2
"16","2019-04-04","Banacha/Żwirki i Wigury (display)",219
"17","2019-04-05","Banacha/Żwirki i Wigury (display)",827
"18","2019-04-06","Banacha/Żwirki i Wigury (display)",2135
"19","2019-04-07","Banacha/Żwirki i Wigury (display)",2487
"20","2019-04-08","Banacha/Żwirki i Wigury (display)",3493
"21","2019-04-09","Banacha/Żwirki i Wigury (display)",2735
"22","2019-04-10","Banacha/Żwirki i Wigury (display)",2297
"23","2019-04-11","Banacha/Żwirki i Wigury (display)",2136
"24","2019-04-12","Banacha/Żwirki i Wigury (display)",1947
"25","2019-04-13","Banacha/Żwirki i Wigury (display)",494
"26","2019-04-14","Banacha/Żwirki i Wigury (display)",1484
"27","2019-04-15","Banacha/Żwirki i Wigury (display)",3
"28","2019-04-16","Banacha/Żwirki i Wigury (display)",96
"29","2019-04-17","Banacha/Żwirki i Wigury (display)",1055
"30","2019-04-18","Banacha/Żwirki i Wigury (display)",2784
"31","2019-04-19","Banacha/Żwirki i Wigury (display)",2647
"32","2019-04-20","Banacha/Żwirki i Wigury (display)",1280
"33","2019-04-21","Banacha/Żwirki i Wigury (display)",573
"34","2019-04-22","Banacha/Żwirki i Wigury (display)",1039
"35","2019-04-23","Banacha/Żwirki i Wigury (display)",2426
"36","2019-04-24","Banacha/Żwirki i Wigury (display)",2997
"37","2019-04-25","Banacha/Żwirki i Wigury (display)",3759
"38","2019-04-26","Banacha/Żwirki i Wigury (display)",4301
"39","2019-04-27","Banacha/Żwirki i Wigury (display)",1482
"40","2019-04-28","Banacha/Żwirki i Wigury (display)",909
"41","2019-04-29","Banacha/Żwirki i Wigury (display)",2580
"42","2019-04-30","Banacha/Żwirki i Wigury (display)",2949
"43","2019-05-01","Banacha/Żwirki i Wigury (display)",2551
"44","2019-05-02","Banacha/Żwirki i Wigury (display)",1102
"45","2019-05-03","Banacha/Żwirki i Wigury (display)",1069
"46","2019-05-04","Banacha/Żwirki i Wigury (display)",1285
"47","2019-05-05","Banacha/Żwirki i Wigury (display)",888
"48","2019-05-06","Banacha/Żwirki i Wigury (display)",2706
"49","2019-05-07","Banacha/Żwirki i Wigury (display)",3179
"50","2019-05-08","Banacha/Żwirki i Wigury (display)",3490
"51","2019-05-09","Banacha/Żwirki i Wigury (display)",3226
"52","2019-05-10","Banacha/Żwirki i Wigury (display)",2316
"53","2019-05-11","Banacha/Żwirki i Wigury (display)",2328
"54","2019-05-12","Banacha/Żwirki i Wigury (display)",1876
"55","2019-05-13","Banacha/Żwirki i Wigury (display)",1982
"56","2019-05-14","Banacha/Żwirki i Wigury (display)",1587
"57","2019-05-15","Banacha/Żwirki i Wigury (display)",1420
"58","2019-05-16","Banacha/Żwirki i Wigury (display)",1760
"59","2019-05-17","Banacha/Żwirki i Wigury (display)",2661
"60","2019-05-18","Banacha/Żwirki i Wigury (display)",1576
"61","2019-05-19","Banacha/Żwirki i Wigury (display)",2197
"62","2019-05-20","Banacha/Żwirki i Wigury (display)",3170
"63","2019-05-21","Banacha/Żwirki i Wigury (display)",3363
"64","2019-05-22","Banacha/Żwirki i Wigury (display)",3220
"65","2019-05-23","Banacha/Żwirki i Wigury (display)",2777
"66","2019-05-24","Banacha/Żwirki i Wigury (display)",3643
"67","2019-05-25","Banacha/Żwirki i Wigury (display)",2747
"68","2019-05-26","Banacha/Żwirki i Wigury (display)",2342
"69","2019-05-27","Banacha/Żwirki i Wigury (display)",4226
"70","2019-05-28","Banacha/Żwirki i Wigury (display)",2455
"71","2019-05-29","Banacha/Żwirki i Wigury (display)",2778
"72","2019-05-30","Banacha/Żwirki i Wigury (display)",4278
"73","2019-05-31","Banacha/Żwirki i Wigury (display)",4316
"74","2019-06-01","Banacha/Żwirki i Wigury (display)",3053
"75","2019-06-02","Banacha/Żwirki i Wigury (display)",3068
"76","2019-06-03","Banacha/Żwirki i Wigury (display)",4813
"77","2019-06-04","Banacha/Żwirki i Wigury (display)",5122
"78","2019-06-05","Banacha/Żwirki i Wigury (display)",5051
"79","2019-06-06","Banacha/Żwirki i Wigury (display)",4966
"80","2019-06-07","Banacha/Żwirki i Wigury (display)",4424
"81","2019-06-08","Banacha/Żwirki i Wigury (display)",2066
"82","2019-06-09","Banacha/Żwirki i Wigury (display)",3830
"83","2019-06-10","Banacha/Żwirki i Wigury (display)",4671
"84","2019-06-11","Banacha/Żwirki i Wigury (display)",4986
"85","2019-06-12","Banacha/Żwirki i Wigury (display)",4801
"86","2019-06-13","Banacha/Żwirki i Wigury (display)",4084
"87","2019-06-14","Banacha/Żwirki i Wigury (display)",4063
"88","2019-06-15","Banacha/Żwirki i Wigury (display)",2402
"89","2019-06-16","Banacha/Żwirki i Wigury (display)",2795
"90","2019-06-17","Banacha/Żwirki i Wigury (display)",4474
"91","2019-06-18","Banacha/Żwirki i Wigury (display)",4664
"92","2019-06-19","Banacha/Żwirki i Wigury (display)",3480
"93","2019-06-20","Banacha/Żwirki i Wigury (display)",2637
"94","2019-06-21","Banacha/Żwirki i Wigury (display)",2313
"95","2019-06-22","Banacha/Żwirki i Wigury (display)",2121
"96","2019-06-23","Banacha/Żwirki i Wigury (display)",2712
"97","2019-06-24","Banacha/Żwirki i Wigury (display)",4453
"98","2019-06-25","Banacha/Żwirki i Wigury (display)",4720
"99","2019-06-26","Banacha/Żwirki i Wigury (display)",4193
"100","2019-06-27","Banacha/Żwirki i Wigury (display)",3992
"101","2019-06-28","Banacha/Żwirki i Wigury (display)",3918
"102","2019-06-29","Banacha/Żwirki i Wigury (display)",2404
"103","2019-06-30","Banacha/Żwirki i Wigury (display)",2268
"104","2019-07-01","Banacha/Żwirki i Wigury (display)",4092
"105","2019-07-02","Banacha/Żwirki i Wigury (display)",4595
"106","2019-07-03","Banacha/Żwirki i Wigury (display)",4153
"107","2019-07-04","Banacha/Żwirki i Wigury (display)",4187
"108","2019-07-05","Banacha/Żwirki i Wigury (display)",2497
"109","2019-07-06","Banacha/Żwirki i Wigury (display)",1354
"110","2019-07-07","Banacha/Żwirki i Wigury (display)",2205
"111","2019-07-08","Banacha/Żwirki i Wigury (display)",3144
"112","2019-07-09","Banacha/Żwirki i Wigury (display)",2279
"113","2019-07-10","Banacha/Żwirki i Wigury (display)",2489
"114","2019-07-11","Banacha/Żwirki i Wigury (display)",3316
"115","2019-07-12","Banacha/Żwirki i Wigury (display)",3545
"116","2019-07-13","Banacha/Żwirki i Wigury (display)",1216
"117","2019-07-14","Banacha/Żwirki i Wigury (display)",2626
"118","2019-07-15","Banacha/Żwirki i Wigury (display)",4164
"119","2019-07-16","Banacha/Żwirki i Wigury (display)",3031
"120","2019-07-17","Banacha/Żwirki i Wigury (display)",3128
"121","2019-07-18","Banacha/Żwirki i Wigury (display)",4231
"122","2019-07-19","Banacha/Żwirki i Wigury (display)",3691
"123","2019-07-20","Banacha/Żwirki i Wigury (display)",2029
"124","2019-07-21","Banacha/Żwirki i Wigury (display)",1853
"125","2019-07-22","Banacha/Żwirki i Wigury (display)",4108
"126","2019-07-23","Banacha/Żwirki i Wigury (display)",4172
"127","2019-07-24","Banacha/Żwirki i Wigury (display)",4298
"128","2019-07-25","Banacha/Żwirki i Wigury (display)",4391
"129","2019-07-26","Banacha/Żwirki i Wigury (display)",3733
"130","2019-07-27","Banacha/Żwirki i Wigury (display)",1689
"131","2019-07-28","Banacha/Żwirki i Wigury (display)",2237
"132","2019-07-29","Banacha/Żwirki i Wigury (display)",3039
"133","2019-07-30","Banacha/Żwirki i Wigury (display)",3790
"134","2019-07-31","Banacha/Żwirki i Wigury (display)",4404
"135","2019-08-01","Banacha/Żwirki i Wigury (display)",4139
"136","2019-08-02","Banacha/Żwirki i Wigury (display)",3277
"137","2019-08-03","Banacha/Żwirki i Wigury (display)",2127
"138","2019-08-04","Banacha/Żwirki i Wigury (display)",2473
"139","2019-08-05","Banacha/Żwirki i Wigury (display)",3915
"140","2019-08-06","Banacha/Żwirki i Wigury (display)",4307
