"Data","Miejsce","Liczba_rowerow"
"2020-05-01","Banacha/Żwirki i Wigury (display)",1176
"2020-05-02","Banacha/Żwirki i Wigury (display)",1951
"2020-05-03","Banacha/Żwirki i Wigury (display)",1206
"2020-05-04","Banacha/Żwirki i Wigury (display)",2198
"2020-05-05","Banacha/Żwirki i Wigury (display)",814
"2020-05-06","Banacha/Żwirki i Wigury (display)",673
"2020-05-07","Banacha/Żwirki i Wigury (display)",2229
"2020-05-08","Banacha/Żwirki i Wigury (display)",2811
"2020-05-09","Banacha/Żwirki i Wigury (display)",3436
"2020-05-10","Banacha/Żwirki i Wigury (display)",3774
"2020-05-11","Banacha/Żwirki i Wigury (display)",1757
"2020-05-12","Banacha/Żwirki i Wigury (display)",1303
"2020-05-13","Banacha/Żwirki i Wigury (display)",1903
"2020-05-14","Banacha/Żwirki i Wigury (display)",1870
"2020-05-15","Banacha/Żwirki i Wigury (display)",2784
"2020-05-16","Banacha/Żwirki i Wigury (display)",1732
"2020-05-17","Banacha/Żwirki i Wigury (display)",2761
"2020-05-18","Banacha/Żwirki i Wigury (display)",1750
"2020-05-19","Banacha/Żwirki i Wigury (display)",1682
"2020-05-20","Banacha/Żwirki i Wigury (display)",2663
"2020-05-21","Banacha/Żwirki i Wigury (display)",2736
"2020-05-22","Banacha/Żwirki i Wigury (display)",2908
"2020-05-23","Banacha/Żwirki i Wigury (display)",2427
"2020-05-24","Banacha/Żwirki i Wigury (display)",2236
"2020-05-25","Banacha/Żwirki i Wigury (display)",1983
"2020-05-26","Banacha/Żwirki i Wigury (display)",2921
"2020-05-27","Banacha/Żwirki i Wigury (display)",3415
"2020-05-28","Banacha/Żwirki i Wigury (display)",3409
"2020-05-29","Banacha/Żwirki i Wigury (display)",3229
"2020-05-30","Banacha/Żwirki i Wigury (display)",915
"2020-05-31","Banacha/Żwirki i Wigury (display)",2337
"2020-06-01","Banacha/Żwirki i Wigury (display)",3383
"2020-06-02","Banacha/Żwirki i Wigury (display)",4017
"2020-06-03","Banacha/Żwirki i Wigury (display)",3063
"2020-06-04","Banacha/Żwirki i Wigury (display)",4279
"2020-06-05","Banacha/Żwirki i Wigury (display)",2028
"2020-06-06","Banacha/Żwirki i Wigury (display)",3451
"2020-06-07","Banacha/Żwirki i Wigury (display)",3083
"2020-06-08","Banacha/Żwirki i Wigury (display)",2602
"2020-06-09","Banacha/Żwirki i Wigury (display)",2812
"2020-06-10","Banacha/Żwirki i Wigury (display)",2333
"2020-06-11","Banacha/Żwirki i Wigury (display)",3041
"2020-06-12","Banacha/Żwirki i Wigury (display)",2708
"2020-06-13","Banacha/Żwirki i Wigury (display)",2320
"2020-06-14","Banacha/Żwirki i Wigury (display)",2764
"2020-06-15","Banacha/Żwirki i Wigury (display)",3756
"2020-06-16","Banacha/Żwirki i Wigury (display)",4674
"2020-06-17","Banacha/Żwirki i Wigury (display)",2790
"2020-06-18","Banacha/Żwirki i Wigury (display)",3163
"2020-06-19","Banacha/Żwirki i Wigury (display)",2756
"2020-06-20","Banacha/Żwirki i Wigury (display)",1746
"2020-06-21","Banacha/Żwirki i Wigury (display)",2029
"2020-06-22","Banacha/Żwirki i Wigury (display)",1437
"2020-06-23","Banacha/Żwirki i Wigury (display)",3409
"2020-06-24","Banacha/Żwirki i Wigury (display)",1283
"2020-06-25","Banacha/Żwirki i Wigury (display)",4636
"2020-06-26","Banacha/Żwirki i Wigury (display)",3383
"2020-06-27","Banacha/Żwirki i Wigury (display)",2556
"2020-06-28","Banacha/Żwirki i Wigury (display)",3334
"2020-06-29","Banacha/Żwirki i Wigury (display)",2224
"2020-06-30","Banacha/Żwirki i Wigury (display)",4310
"2020-07-01","Banacha/Żwirki i Wigury (display)",4930
"2020-07-02","Banacha/Żwirki i Wigury (display)",4189
"2020-07-03","Banacha/Żwirki i Wigury (display)",3479
"2020-07-04","Banacha/Żwirki i Wigury (display)",3116
"2020-07-05","Banacha/Żwirki i Wigury (display)",3309
"2020-07-06","Banacha/Żwirki i Wigury (display)",3239
"2020-07-07","Banacha/Żwirki i Wigury (display)",3995
