"Data","startTyg","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Wolne","Rodzaj_opadu","Miejsce","Liczba_rowerow"
2015-05-29,2015-05-25,4.7,14.2,20.6,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1364
2015-05-30,2015-05-25,12,17.2,23.4,0.3,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1275
2015-05-31,2015-05-25,10.8,14.9,19.3,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1576
2015-06-01,2015-06-01,9.6,19.3,26.2,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1599
2015-06-02,2015-06-01,15.1,21.7,28.1,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1767
2015-06-03,2015-06-01,15.4,23.3,30,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1784
2015-06-04,2015-06-01,12.6,17.1,26.3,0,0,"roboczy",TRUE,"s","al. Solidarności/Dworzec Wileński",1920
2015-06-06,2015-06-01,12,20.8,27.7,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1434
2015-06-07,2015-06-01,15.2,20.5,27.8,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1547
2015-06-08,2015-06-08,13.4,17.3,20.8,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1411
2015-06-09,2015-06-08,13,15,19.4,0.5,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1277
2015-06-10,2015-06-08,12.7,16.7,21.2,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1413
2015-06-11,2015-06-08,11.5,18.2,24.1,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1829
2015-06-12,2015-06-08,9.6,20.2,27.1,5.1,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1836
2015-06-13,2015-06-08,16.9,22.7,28.3,4.1,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1542
2015-06-14,2015-06-08,18.1,21.8,26.6,0.8,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1415
2015-06-15,2015-06-15,15.6,17.9,24,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1081
2015-06-16,2015-06-15,8.4,13.6,19.5,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1672
2015-06-17,2015-06-15,10.1,15.6,20.4,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1727
2015-06-19,2015-06-15,12.7,14.8,18.4,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",927
2015-06-20,2015-06-15,6.6,13.6,19.5,0.7,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",959
2015-06-21,2015-06-15,10.9,15.2,19.8,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1124
2015-06-22,2015-06-22,8.8,16.1,21.1,0.7,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1502
2015-06-23,2015-06-22,12.9,14.1,18.2,3.2,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",845
2015-06-24,2015-06-22,8.3,15.2,20,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1497
2015-06-25,2015-06-22,9.6,16.2,21.6,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1717
2015-06-26,2015-06-22,10.9,17.7,23.9,1.5,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1513
2015-06-27,2015-06-22,12,17.4,21.3,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1350
2015-06-28,2015-06-22,12,19.7,25.9,0.1,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1536
2015-06-29,2015-06-29,16.3,17.6,22,0.6,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1146
2015-06-30,2015-06-29,11.2,19.3,26.2,0.1,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1780
2015-07-01,2015-06-29,14,20.6,26.4,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1955
2015-07-02,2015-06-29,15.4,21.5,26.9,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1988
2015-07-03,2015-06-29,16.2,23.3,29.2,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1833
2015-07-04,2015-06-29,14.3,23.9,31.6,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1205
2015-07-05,2015-06-29,15.5,26.7,34.5,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1226
2015-07-06,2015-07-06,17.5,24.6,31.9,1,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1592
2015-07-07,2015-07-06,13.5,23.1,30.3,6.9,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1901
2015-07-08,2015-07-06,18.1,20.6,28,15.3,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",946
2015-07-09,2015-07-06,14.2,17,23.3,5.2,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1253
2015-07-10,2015-07-06,11.7,13.3,15.8,0.3,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",912
2015-07-11,2015-07-06,11.9,15.7,18.7,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",786
2015-07-12,2015-07-06,11.6,18,23.7,0,0,"weekend",TRUE,"s","al. Solidarności/Dworzec Wileński",1370
2015-07-13,2015-07-13,15.4,17.7,22,2.5,0,"roboczy",FALSE,"d","al. Solidarności/Dworzec Wileński",1020
2015-07-14,2015-07-13,15.2,18.1,22.5,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1291
2015-07-15,2015-07-13,13.8,18.5,23.4,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1673
2015-07-16,2015-07-13,12.2,19.5,25.4,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1829
2015-07-17,2015-07-13,13.1,21.7,27.8,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1749
2015-07-18,2015-07-13,15.9,24.2,35.7,1.9,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1152
2015-07-19,2015-07-13,17.7,22.1,30,14.5,0,"weekend",TRUE,"d","al. Solidarności/Dworzec Wileński",1179
2015-07-20,2015-07-20,16.8,19.7,23.9,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1262
2015-07-21,2015-07-20,10.9,19.1,24.7,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1686
2015-07-22,2015-07-20,17.6,23.4,29,0,0,"roboczy",FALSE,"s","al. Solidarności/Dworzec Wileński",1828
