Data;Al. USA - południe Rower;Al. USA - północ Rower;Banacha Rower;Bazyliańska Rower;Belwederska Rower;Dworzec Wilenski (al. Solidarności) Rower;Dworzec Wileński Nowy( Targowa) Rower;Marszałkowska Rower;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Rowery (Praska ścieżka rekreacyjna);Wybrzeże Helskie Rower;Wysockiego Rower;Świętokrzyska - Emilii Plater, płd Rower;Świętokrzyska - Emilii Plater, płn Rower;Żwirki i Wigury/Trojdena Rower;Żwirki i Wigury/Trojdena Rower
2016-12-03;41;2;133;6;49;77;60;77;92;18;27;52;24;88;24;135;108;46;5
2016-12-11;32;10;84;1;35;44;56;45;39;43;16;31;12;67;20;76;51;42;11
2016-12-04;53;16;118;3;60;75;71;65;118;36;28;77;24;96;27;114;73;46;11
2016-12-10;27;9;104;12;28;69;85;60;37;23;13;36;3;61;24;96;78;51;14
2016-12-18;41;15;122;8;90;59;46;60;79;55;21;51;30;83;26;103;71;52;16
2016-12-17;48;21;212;16;155;109;111;114;113;79;46;99;38;156;43;192;159;97;25
2016-11-27;40;23;193;16;93;98;72;88;105;86;56;92;42;148;41;152;120;137;26
2016-12-02;55;18;358;13;60;95;40;124;39;14;6;43;2;130;44;209;108;94;28
2016-11-01;39;19;139;15;56;81;82;42;152;91;45;76;40;177;48;97;84;103;32
2016-10-30;92;41;257;15;132;174;196;97;266;169;100;152;108;328;83;240;148;142;32
2016-10-22;65;38;234;22;69;96;124;118;111;80;34;77;19;158;63;176;153;105;35
2016-11-13;68;42;211;15;86;117;126;99;149;122;60;106;67;385;60;166;127;136;38
2016-11-19;87;33;272;28;79;120;125;104;125;88;39;94;28;163;73;198;124;134;38
2016-10-29;98;52;299;28;108;167;201;126;211;109;76;151;67;247;90;286;191;165;41
2016-11-11;29;15;192;15;80;79;86;115;148;66;35;68;49;563;46;176;132;120;43
2016-11-12;80;45;278;20;119;151;176;131;210;159;81;137;92;259;72;240;163;134;43
2016-10-15;129;71;420;35;187;226;238;225;288;170;102;228;109;333;127;346;284;250;47
2016-11-06;71;44;259;22;143;145;126;102;265;187;102;197;111;384;86;269;185;167;53
2016-12-06;80;43;532;10;153;163;138;219;168;23;27;138;8;222;87;361;290;269;55
2016-11-26;123;66;449;38;186;192;196;199;332;326;166;242;161;389;125;347;256;239;62
2016-10-16;152;85;375;25;198;180;209;158;369;242;120;203;135;369;132;298;269;229;66
2016-12-05;99;48;659;7;212;215;160;222;184;33;29;160;15;259;77;403;341;299;70
2016-10-23;164;92;487;61;273;275;285;216;536;466;237;308;237;450;194;443;276;372;71
2016-12-01;73;35;634;23;201;215;215;207;150;74;47;148;17;274;86;417;326;348;74
2016-12-15;75;43;550;35;169;145;121;223;133;83;45;142;10;211;68;353;329;271;75
2016-11-05;161;83;428;39;222;193;240;200;355;215;111;220;151;273;168;359;306;263;76
2016-11-20;214;92;509;56;327;240;213;254;563;537;233;336;193;540;192;392;261;301;77
2016-12-07;109;47;610;18;181;224;158;197;209;51;34;157;15;278;92;438;317;310;79
2016-12-14;62;17;525;22;156;161;119;209;122;51;35;129;10;189;70;313;298;238;79
2016-12-12;89;39;555;16;182;163;184;208;124;68;33;166;18;203;75;335;280;272;80
2016-10-08;139;73;528;39;200;250;273;237;275;175;87;248;79;336;147;396;283;286;81
2016-12-19;80;35;576;;175;184;141;211;142;68;37;145;22;243;77;417;325;276;84
2016-10-09;129;79;491;36;251;214;209;209;354;270;155;292;151;363;161;376;250;264;85
2016-12-09;84;41;628;17;191;207;153;249;186;84;68;174;5;224;74;435;332;293;86
2016-12-16;74;29;617;22;186;195;126;244;169;106;62;178;22;280;87;368;323;273;88
2016-10-05;87;48;696;23;162;209;190;225;144;42;34;139;3;245;67;390;309;325;96
2016-10-31;130;72;621;44;228;342;313;306;301;181;123;239;54;453;130;517;389;322;97
2016-11-29;105;45;781;21;230;222;168;278;156;89;59;173;15;299;80;503;423;367;99
2016-11-28;103;57;716;27;222;222;186;266;148;86;45;186;18;306;82;451;377;363;99
2016-12-08;116;45;635;22;194;187;210;228;181;63;49;168;4;253;63;377;338;320;103
2016-11-30;97;47;725;31;215;226;201;244;166;67;44;186;15;292;81;434;361;348;104
2016-10-21;106;65;944;36;279;235;249;279;224;92;74;214;9;373;105;517;423;457;109
2016-12-13;97;32;665;23;187;176;165;213;158;80;40;165;8;242;77;411;351;288;112
2016-08-10;110;64;914;41;311;386;383;374;1745;100;59;250;428;498;391;655;488;481;115
2016-11-16;90;62;885;30;252;206;237;304;187;99;79;203;13;575;89;519;456;473;122
2016-10-12;114;50;888;41;271;285;241;296;212;112;63;226;4;326;84;482;399;444;130
2016-11-25;144;88;1030;43;303;309;279;415;269;165;101;297;52;468;129;656;542;509;130
2016-11-07;132;75;997;30;294;303;262;363;275;149;92;240;27;557;135;570;506;506;134
2016-11-09;87;41;876;46;235;219;196;280;199;76;58;208;7;514;103;474;400;431;135
2016-11-10;130;85;1037;46;333;325;313;398;315;175;112;279;37;662;129;681;526;508;145
2016-11-03;137;75;1024;32;298;272;256;374;270;110;63;221;12;606;104;597;539;533;145
2016-10-06;179;88;908;46;293;288;320;418;292;143;92;262;24;386;128;610;527;421;146
