"Data";"Al. USA - południe";"Al. USA - północ";"Banacha";"Bazyliańska";"Belwederska";"Dworzec Wilenski (al. Solidarności)";"Dworzec Wileński (Targowa)";"Marsa";"Marszałkowska";"Most Gdanski - ścieżka rowerowa";"Most Gdański - ciąg pieszo-rowerowy";"NSR - Solec - ciąg pieszo-rowerowy";"NSR-Solec - ścieżka rowerowa";"Wybrzeże Helskie";"Wysockiego";"Świętokrzyska - Emilii Plater, płd";"Świętokrzyska - Emilii Plater, płn";"Żwirki i Wigury/Trojdena wsch.";"Żwirki i Wigury/Trojdena zach."
2017-01-01;43;19;105;9;83;62;47;NA;52;129;93;50;73;103;26;118;83;76;30
2017-01-02;83;29;441;14;141;160;117;NA;160;140;60;30;122;211;60;251;214;231;69
2017-01-03;69;34;466;19;128;162;138;NA;180;131;55;12;133;235;62;259;222;233;60
2017-01-04;45;11;364;12;99;93;82;NA;132;71;16;15;85;121;39;193;158;151;25
2017-01-05;34;8;198;9;64;80;49;NA;105;55;15;9;69;104;31;139;139;115;8
2017-01-06;20;4;28;3;22;38;18;NA;21;30;7;8;19;38;12;51;28;29;1
2017-01-07;19;2;48;0;15;31;25;NA;30;38;5;7;17;28;8;43;28;16;2
2017-01-08;21;4;28;1;21;27;13;NA;32;48;15;5;21;38;10;64;34;31;2
2017-01-09;45;16;294;4;60;75;46;NA;106;61;14;14;52;97;31;152;131;118;6
2017-01-10;40;18;327;3;104;94;51;NA;117;98;16;7;71;123;28;211;175;156;6
2017-01-11;45;14;354;5;103;110;55;NA;129;97;20;13;74;140;34;228;195;146;3
2017-01-12;36;1;320;5;66;92;61;NA;110;81;9;6;70;105;39;166;141;137;1
2017-01-13;29;3;262;6;66;80;34;NA;94;73;5;10;69;101;25;178;144;123;1
2017-01-14;39;4;87;8;30;59;41;NA;54;78;14;10;68;80;27;81;67;42;0
2017-01-15;22;6;65;2;59;56;23;NA;51;80;19;13;45;84;27;79;107;40;0
2017-01-16;48;0;349;9;102;117;52;NA;145;103;9;6;88;141;43;238;168;150;0
2017-01-17;51;1;345;8;103;133;50;NA;125;108;6;7;97;152;41;202;183;180;2
2017-01-18;56;2;341;5;75;106;37;NA;135;133;10;10;78;138;35;263;161;174;1
2017-01-19;52;1;330;7;90;103;43;NA;136;123;8;7;102;148;34;227;190;164;0
2017-01-20;32;0;277;5;64;108;43;NA;97;55;10;2;54;101;25;204;176;117;1
2017-01-21;31;2;89;8;43;47;33;NA;37;53;16;18;46;56;44;75;61;47;0
2017-01-22;36;6;92;7;48;72;48;NA;40;70;18;20;61;79;36;75;72;35;0
2017-01-23;68;5;420;15;118;123;101;NA;152;171;33;16;128;209;59;303;233;218;2
2017-01-24;61;4;373;7;126;120;76;NA;126;136;23;12;133;181;33;266;233;177;4
2017-01-25;73;7;394;19;146;110;77;NA;149;145;24;12;106;178;54;254;239;213;6
2017-01-26;54;4;422;15;140;114;91;NA;151;146;32;22;135;179;56;319;229;190;8
2017-01-27;60;9;376;11;131;134;92;NA;141;126;37;20;133;167;54;290;233;212;10
2017-01-28;58;11;128;8;79;95;74;NA;74;172;59;38;95;135;34;136;97;87;10
2017-01-29;70;14;139;9;74;73;66;NA;55;189;53;28;92;139;50;121;83;60;11
2017-01-30;75;15;386;18;129;165;130;NA;165;186;24;15;160;187;49;299;256;198;34
2017-01-31;61;26;459;11;160;155;129;NA;163;177;35;29;153;192;58;321;257;212;29
2017-02-01;66;21;416;11;149;130;123;NA;163;164;28;18;134;183;50;327;270;195;41
2017-02-02;52;7;353;6;122;139;76;NA;133;106;28;17;96;156;54;280;202;142;25
2017-02-03;43;2;345;4;117;127;96;NA;139;98;32;13;103;148;48;250;224;172;27
2017-02-04;41;1;137;5;65;71;70;NA;68;97;27;16;68;89;32;123;74;74;10
2017-02-05;29;3;96;1;37;42;50;NA;41;67;24;25;43;90;18;54;79;25;5
2017-02-06;45;4;371;13;117;130;76;NA;128;135;23;12;94;163;50;256;222;174;24
2017-02-07;43;10;306;2;92;104;76;NA;106;81;24;12;71;131;40;214;172;163;9
