Data;al. Jerozolimskie - południe;al. Jerozolimskie - północ;Al. USA - południe;Al. USA - północ;Banacha;Bazyliańska;Belwederska;Czerniakowska - wschód;Czerniakowska - zachód;Dworzec Wilenski (al. Solidarności);Dworzec Wileński (Targowa);Marsa;Marszałkowska;NSR Most Gdanski - ścieżka rowerowa;NSR Most Gdański - ciąg pieszo-rowerowy;NSR Solec - ciąg pieszo-rowerowy;NSR Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Wybrzeże Helskie;Wysockiego;Świętokrzyska - Emilii Plater-płd;Świętokrzyska - Emilii Plater-płn;Żwirki i Wigury/Trojdena wsch.;Żwirki i Wigury/Trojdena zach.
2017-09-25;133;965;670;329;1996;147;745;;;846;771;270;890;699;727;370;1128;118;1234;388;1839;47;1134;301
2017-09-26;156;1273;1143;623;3014;221;1285;;;1270;1138;492;1170;1455;1685;956;2299;326;1836;645;2642;57;1718;438
2017-09-27;150;1337;1107;577;2963;175;1178;;;1257;1102;472;1169;1219;1553;857;1832;235;1908;579;2713;57;1633;426
2017-09-28;172;1239;966;491;2800;163;1114;;;1136;1055;411;1169;1122;1325;648;1779;113;1761;513;2471;53;1615;410
2017-09-29;137;1115;787;432;2367;146;884;;;1002;1006;354;1107;904;980;537;1421;105;1451;458;2223;78;1350;340
2017-09-30;94;565;819;485;1551;149;827;;;853;893;325;836;1486;1817;1206;1704;552;1561;476;1608;67;803;206
2017-10-01;82;562;958;552;1458;148;810;;;939;835;321;785;1829;1852;1266;2206;784;1642;548;1432;378;941;230
2017-10-02;165;1100;772;371;2586;168;929;;;978;824;338;1055;909;988;538;1351;210;1379;448;2180;70;1442;400
2017-10-03;57;402;153;103;936;28;237;;;290;292;107;360;162;146;79;272;10;386;88;660;247;436;157
2017-10-04;140;807;426;234;1995;81;648;;;668;619;261;751;474;528;278;785;58;860;236;1465;1072;992;309
2017-10-05;69;450;184;103;986;34;301;;;329;262;129;330;194;173;89;298;6;393;107;674;537;466;135
2017-10-06;110;702;367;199;1590;74;474;;;574;539;206;604;452;427;244;609;48;645;238;1185;961;750;277
2017-10-07;61;272;270;171;746;87;329;;;402;464;126;420;484;564;422;601;193;566;218;674;626;406;95
2017-10-08;35;164;160;107;365;29;154;;;239;283;75;213;246;210;163;263;46;266;103;427;392;236;93
2017-10-09;112;717;443;248;1800;57;563;;;645;610;234;658;456;468;267;741;60;800;223;1273;1047;962;299
2017-10-10;96;705;397;204;1810;72;546;;;515;480;183;679;471;445;253;695;64;702;188;1176;1052;840;263
