"Czas","Data","Godzina","Al. USA - suma","Al. USA - południe","Al. USA - północ","Banacha","Bazyliańska","Belwederska","Dworzec Wilenski (al. Solidarności)","Dworzec Wileński (Targowa)","Marszałkowska","Most Gdański - suma","Most Gdański - ciąg pieszo-rowerowy","Most Gdanski - ścieżka rowerowa","NSR - Solec - suma","NSR - Solec - ciąg pieszo-rowerowy","NSR-Solec - ścieżka rowerowa","Praska ścieżka rekreacyjna","Świętokrzyska - Emilii Plater - suma","Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn","Wybrzeże Helskie","Wysockiego","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena zach.","Żwirki i Wigury/Trojdena wsch.","Jaki_dzien"
2017-05-08 00:00:00,2017-05-08,0,3,0,3,5,0,2,1,2,1,3,0,3,1,0,1,0,2,2,0,3,1,0,0,0,"roboczy"
2017-05-08 01:00:00,2017-05-08,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,"roboczy"
2017-05-08 02:00:00,2017-05-08,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"roboczy"
2017-05-08 03:00:00,2017-05-08,3,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,"roboczy"
2017-05-08 04:00:00,2017-05-08,4,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,2,0,0,0,"roboczy"
2017-05-08 05:00:00,2017-05-08,5,5,3,2,3,0,2,2,3,4,5,1,4,1,0,1,3,11,9,2,6,2,6,2,4,"roboczy"
2017-05-08 06:00:00,2017-05-08,6,13,11,2,40,4,11,26,13,15,26,6,20,20,1,19,0,36,25,11,28,11,24,5,19,"roboczy"
2017-05-08 07:00:00,2017-05-08,7,35,20,15,141,13,30,66,37,31,79,17,62,52,10,42,1,140,78,62,72,16,107,27,80,"roboczy"
2017-05-08 08:00:00,2017-05-08,8,34,21,13,228,8,67,54,33,62,46,15,31,57,6,51,1,240,112,128,78,11,130,38,92,"roboczy"
2017-05-08 09:00:00,2017-05-08,9,27,16,11,128,3,40,32,17,37,40,9,31,24,5,19,2,160,87,73,42,9,60,17,43,"roboczy"
2017-05-08 10:00:00,2017-05-08,10,13,8,5,69,3,20,28,31,29,15,4,11,19,2,17,1,89,47,42,25,6,59,22,37,"roboczy"
