Data;Al. USA - południe;Al. USA - południe Rower IN;Al. USA - południe Rower OUT;Al. USA - północ;Al. USA - północ Rower IN;Al. USA - północ Rower OUT;Banacha;Banacha_IN;Banacha_OUT;Bazyliańska;Bazylia?ska_IN;Bazylia?ska_OUT;Belwederska;Belwederska Rower IN;Belwederska Rower OUT;Dworzec Wilenski (al. Solidarności);Dworzec Wile?ski (Al. Solidarno?ci)_IN;Dworzec Wile?ski (Al. Solidarno?ci)_OUT;Dworzec Wileński Nowy( Targowa);Dworzec Wile?ski Nowy_IN;Dworzec Wile?ski Nowy_OUT;Marszałkowska;Marszałkowska Rower IN;Marszałkowska Rower OUT;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Piesi;Rowery;Wybrzeże Helskie;Wybrzeże Helskie_nowy Wyb.Helskie IN;Wybrzeże Helskie_nowy Wyb. Helskie OUT;Wysockiego;Wysockiego_IN;Wysockiego_OUT;Świętokrzyska - Emilii Plater, płd;Świętokrzyska - Emilii Plater, płd Rower IN;Świętokrzyska - Emilii Plater, płd Rower OUT;Świętokrzyska - Emilii Plater, płn;Świętokrzyska - Emilii Plater, płn Rower IN;Świętokrzyska - Emilii Plater, płn Rower OUT;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena Rower IN;Żwirki i Wigury/Trojdena Rower OUT;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena Rower IN;Żwirki i Wigury/Trojdena Rower OUT
01-01-17 0:00;1;1;0;0;0;0;1;0;1;0;0;0;4;0;4;1;0;1;0;0;0;0;0;0;1;0;2;0;4;2;2;6;1;5;0;0;0;4;1;3;0;0;0;1;0;1;0;0;0
01-01-17 1:00;1;1;0;0;0;0;2;2;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0
01-01-17 2:00;0;0;0;0;0;0;4;2;2;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
01-01-17 3:00;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;1;1;0;0;0;1;2;1;0;1;0;0;0;0;0;0;5;2;3;4;1;3;0;0;0;0;0;0
01-01-17 4:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;2;0;0;0
01-01-17 5:00;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;5;1;4;0;0;0;0;0;0
01-01-17 6:00;2;1;1;0;0;0;4;1;3;0;0;0;1;0;1;5;4;1;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;2
01-01-17 7:00;1;0;1;1;1;0;3;2;1;0;0;0;2;0;2;2;1;1;2;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;2;1;1;3;2;1;0;0;0;0;0;0;1;0;1
01-01-17 8:00;0;0;0;1;0;1;3;2;1;0;0;0;1;1;0;0;0;0;2;0;2;1;0;1;4;0;2;3;0;0;0;2;0;2;0;0;0;2;1;1;1;0;1;2;1;1;0;0;0
01-01-17 9:00;0;0;0;1;1;0;0;0;0;0;0;0;5;2;3;3;2;1;4;2;2;2;2;0;3;5;0;2;2;2;0;1;1;0;0;0;0;1;1;0;2;2;0;0;0;0;0;0;0
01-01-17 10:00;3;3;0;0;0;0;2;1;1;0;0;0;2;2;0;0;0;0;1;1;0;6;2;4;10;3;2;3;15;15;0;7;3;4;1;1;0;2;0;2;4;3;1;0;0;0;1;1;0
01-01-17 11:00;4;0;4;1;0;1;7;2;5;0;0;0;3;1;2;2;1;1;1;0;1;2;1;1;12;12;3;7;13;12;1;8;3;5;0;0;0;4;2;2;5;4;1;5;3;2;1;0;1
01-01-17 12:00;5;1;4;5;4;1;2;0;2;1;1;0;4;3;1;3;3;0;4;3;1;3;2;1;13;10;8;5;36;26;10;7;2;5;5;2;3;8;5;3;9;8;1;3;3;0;3;2;1
01-01-17 13:00;3;2;1;1;1;0;9;5;4;3;2;1;12;5;7;2;1;1;3;3;0;5;4;1;17;18;4;8;52;43;9;12;4;8;3;1;2;7;4;3;6;4;2;14;7;7;1;0;1
01-01-17 14:00;5;1;4;1;1;0;12;6;6;3;3;0;7;2;5;14;11;3;5;1;4;2;1;1;22;17;5;5;49;42;7;18;10;8;3;2;1;11;9;2;2;1;1;11;4;7;3;1;2
01-01-17 15:00;4;2;2;5;0;5;8;4;4;1;1;0;11;1;10;6;4;2;3;1;2;3;1;2;5;16;10;6;30;27;3;8;2;6;2;0;2;16;13;3;11;11;0;8;3;5;4;2;2
01-01-17 16:00;3;2;1;0;0;0;4;3;1;0;0;0;5;4;1;2;2;0;2;0;2;5;3;2;10;6;3;7;7;7;0;8;2;6;3;1;2;8;7;1;5;5;0;8;4;4;1;1;0
01-01-17 17:00;4;2;2;1;0;1;9;2;7;1;1;0;3;1;2;8;1;7;5;2;3;2;0;2;13;1;1;4;4;4;0;7;2;5;1;0;1;10;5;5;6;6;0;5;3;2;3;3;0
01-01-17 18:00;1;1;0;0;0;0;10;6;4;0;0;0;14;9;5;5;4;1;2;0;2;0;0;0;7;2;5;3;2;2;0;5;2;3;3;1;2;7;5;2;6;3;3;2;2;0;0;0;0
01-01-17 19:00;1;0;1;2;1;1;5;1;4;0;0;0;1;0;1;3;0;3;5;3;2;7;4;3;5;0;2;3;4;4;0;5;1;4;1;1;0;10;7;3;7;2;5;8;3;5;1;0;1
01-01-17 20:00;0;0;0;0;0;0;12;5;7;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;1;1;1;1;4;4;0;3;2;1;2;0;2;2;2;0;1;1;0;2;2;0;1;0;1
01-01-17 21:00;3;2;1;0;0;0;3;2;1;0;0;0;2;0;2;0;0;0;1;1;0;4;0;4;1;0;0;9;0;0;0;3;1;2;0;0;0;3;3;0;2;2;0;1;1;0;2;1;1
01-01-17 22:00;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;0;1;1;0;1;1;0;0;1;2;0;2;2;1;1;0;0;0;6;3;3;4;2;2;1;0;1;0;0;0
01-01-17 23:00;0;0;0;0;0;0;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;3;0;1;0;1;0;0;0;6;4;2
02-01-17 0:00;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0
02-01-17 1:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02-01-17 2:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
