Data;Al. USA - po³udnie;Al. USA - pó³noc;Banacha;Bazyliañska;Belwederska;Dworzec Wilenski (al. Solidarnoœci);Dworzec Wileñski Nowy( Targowa);Marsza³kowska;Most Gdanski - œcie¿ka rowerowa;Most Gdañski - ci¹g pieszo-rowerowy;NSR - Solec - ci¹g pieszo-rowerowy;NSR-Solec - œcie¿ka rowerowa;Praska sciezka rekreacyjna;Wybrze¿e Helskie;Wysockiego;Œwiêtokrzyska - Emilii Plater, p³d;Œwiêtokrzyska - Emilii Plater, p³n;¯wirki i Wigury/Trojdena;¯wirki i Wigury/Trojdena
2014-08-01;;;;;;;;;;;;;;;;;;;
2014-08-02;;;;;;;;;;;;;;;;;;;
2014-08-03;;;;;;;;;;;;;;;;;;;
2014-08-04;;;;;;;;;;;;;;;;;;;
2014-08-05;;;;;;;;;;;;;;;;;;;
2014-08-06;;;;;;;;;;;;;;;;;;;
2014-08-07;;;;;;;;;;;;;;;;;;;
2014-08-08;;;;;;;;;;;;;;;;;;;
2014-08-09;;;;;;;;;;;;;;;;;;;
2014-08-10;;;;;;;;;;;;;;;;;;;
2014-08-11;;;;;;;;;;;;;;;;;;;
2014-08-12;;;;;;;;;;;;;;;;;;;
2014-08-13;;;;;;;;;102;0;6;60;;;;;;;
2014-08-14;;;;;;;;;576;0;114;81;236;;;;;;
2014-08-15;;;;;;;;;2585;0;861;553;1611;;;;;;
2014-08-16;;;;;;;;;484;0;134;80;389;;;;;;
2014-08-17;;;;;;;;;1138;0;273;120;876;;;;;;
2014-08-18;;;;;;;;;971;0;172;126;475;;;;;;
2014-08-19;;;;;;;;;1248;0;224;129;675;;;;;;
2014-08-20;;;;;;;;;1334;0;262;173;852;;;;;;
2014-08-21;;;;;;;;;731;0;100;78;382;;;;;;
2014-08-22;;;;;;;;;1130;0;207;249;677;;;;;;
2014-08-23;;;;;;;;;2039;0;447;600;1536;;;;;;
2014-08-24;;;;;;;;;136;0;31;48;181;;;;;;
2014-08-25;;;;;;;;;983;0;135;292;503;;;;;;
2014-08-26;;;;;;;;;192;0;16;98;102;;;;;;
2014-08-27;;;;;;;;;604;0;37;247;285;;;;;;
2014-08-28;;;;;;;;;618;0;90;262;304;;;;;;
2014-08-29;;;;;;;;;1267;0;193;460;755;;;;;;
2014-08-30;;;;;;;;;1583;0;411;500;1140;;;;;;
2014-08-31;;;;;;;;;2124;0;551;637;1527;;;;;;
2014-09-01;;;;;;;;;648;0;37;228;308;;;;;;
2014-09-02;;;;;;;;;959;0;89;284;524;;;;;;
2014-09-03;;;;;;;;;1181;0;154;436;691;;;;;;
2014-09-04;;;;;;;;;1278;0;210;455;759;;;;;;
2014-09-05;;;;;;;;;1158;0;166;478;780;;;;;;
2014-09-06;;;;;;;;;2357;0;618;692;1951;;;;;;
2014-09-07;;;;;;;;;2616;0;867;842;2246;;;;;;
2014-09-08;;;;;;;;;1013;0;100;368;515;;;;;;
2014-09-09;;;;;;;;;828;0;69;285;401;;;;;;
2014-09-10;;;;;;;;;1008;0;1619;363;475;;;;;;
2014-09-11;;;;;;;;;477;0;61;234;183;;;;;;
2014-09-12;;;;;;;;;1276;0;191;459;688;;;;;;
2014-09-13;;;;;;;;;2531;0;1075;1410;2108;;;;;;
2014-09-14;;;;;;;;;3122;0;933;1263;2234;;;;;;
2014-09-15;;;;;;;;;1102;108;154;454;567;;;;;;
2014-09-16;;;;;;;;;498;579;123;484;557;;;;;;
2014-09-17;;;;;;;;;339;776;126;442;487;;;;;;
2014-09-18;;;;;;;;;267;822;141;418;509;;;;;;
2014-09-19;;;;;;;;;450;579;127;370;511;;;;;;
2014-09-20;;;;;;;;;851;605;298;463;1078;;;;;;
2014-09-21;;;;;;;;;474;378;153;255;706;;;;;;
2014-09-22;;;;;;;;;277;145;34;177;162;;;;;;
2014-09-23;;;;;;;;;217;76;20;135;124;;;;;;
2014-09-24;;;;;;;;;548;193;76;264;281;;;;;;
2014-09-25;;;;;;;;;398;144;53;237;230;;;;;;
2014-09-26;;;;;;;;;506;112;74;249;244;;;;;;
2014-09-27;;;;;;;;;930;361;215;352;827;;;;;;
2014-09-28;;;;;;;;;1603;688;438;659;1205;;;;;;
2014-09-29;;;;;;;;;662;198;93;365;369;;;;;;
2014-09-30;;;;;;;;;683;166;68;365;237;;;;;;
2014-10-01;;;;;;;;;455;88;51;287;209;;;;;;
2014-10-02;;;;;;;;;685;268;102;449;397;;;;;;
2014-10-03;;;;;;;;;662;193;105;410;452;;;;;;
2014-10-04;;;;;;;;;1317;417;350;561;1036;;;;;;
2014-10-05;;;;;;;;;1303;482;384;632;1213;;;;;;
2014-10-06;;;;;;;;;591;126;93;346;864;;;;;;
2014-10-07;;;;;;;;;594;114;80;399;365;;;;;;
2014-10-08;;;;;;;;;552;97;80;380;286;;;;;;
2014-10-09;;;;;;;;;882;255;185;470;588;;;;;;
2014-10-10;;;;;;;;;984;295;168;530;568;;;;;;
2014-10-11;;;;;;;;;1628;771;493;860;1349;;;;;;
2014-10-12;;;;;;;;;825;260;205;403;769;;;;;;
2014-10-13;;;;;;;;;826;184;123;504;342;;;;;;
2014-10-14;;;;;;;;;542;116;50;390;279;;;;;;
2014-10-15;;;;;;;;;663;136;90;419;254;;;;;;
2014-10-16;;;;;;;;;431;61;38;312;171;;;;;;
2014-10-17;;;;;;;;;320;34;23;224;117;;;;;;
2014-10-18;;;;;;;;;466;116;87;285;441;;;;;;
2014-10-19;;;;;;;;;1484;516;362;682;1299;;;;;;
2014-10-20;;;;;;;;;413;74;65;326;177;;;;;;
2014-10-21;;;;;;;;;325;44;33;248;104;;;;;;
2014-10-22;;;;;;;;;408;52;33;274;166;;;;;;
2014-10-23;;;;;;;;;200;34;32;187;100;;;;;;
2014-10-24;;;;;;;;;279;45;40;225;145;;;;;;
2014-10-25;;;;;;;;;221;36;23;115;213;;;;;;
2014-10-26;;;;;;;;;384;96;48;186;426;;;;;;
2014-10-27;;;;;;;;;374;75;50;237;160;;;;;;
2014-10-28;;;;;;;;;457;82;46;310;200;;;;;;
2014-10-29;;;;;;;;;444;95;44;291;190;;;;;;
2014-10-30;;;;;;;;;388;57;43;271;181;;;;;;
2014-10-31;;;;;;;;;338;39;37;232;216;;;;;;
2014-11-01;;;;;;;;;273;90;52;146;292;;;;;;
2014-11-02;;;;;;;;;515;144;132;229;588;;;;;;
2014-11-03;;;;;;;;;428;91;63;314;182;;;;;;
2014-11-04;;;;;;;;;436;105;70;354;204;;;;;;
2014-11-05;;;;;;;;;535;132;76;407;293;;;;;;
2014-11-06;;;;;;;;;517;114;68;348;179;;;;;;
2014-11-07;;;;;;;;;168;27;21;167;78;;;;;;
2014-11-08;;;;;;;;;78;14;9;71;119;;;;;;
2014-11-09;;;;;;;;;356;105;78;216;394;;;;;;
2014-11-10;;;;;;;;;209;53;47;176;134;;;;;;
2014-11-11;;;;;;;;;759;221;119;305;447;;;;;;
2014-11-12;;;;;;;;;283;36;25;257;96;;;;;;
2014-11-13;;;;;;;;;334;43;29;280;118;;;;;;
2014-11-14;;;;;;;;;255;40;39;241;117;;;;;;
2014-11-15;;;;;;;;;209;47;32;168;308;;;;;;
2014-11-16;;;;;;;;;283;45;36;142;354;;;;;;
2014-11-17;;;;;;;;;154;14;12;130;40;;;;;;
2014-11-18;;;;;;;;;204;19;18;181;93;;;;;;
2014-11-19;;;;;;;;;220;27;12;188;92;;;;;;
2014-11-20;;;;;;;;;215;23;15;169;78;;;;;;
2014-11-21;;;;;;;;;201;36;19;183;81;;;;;;
2014-11-22;;;;;;;;;211;58;54;118;256;;;;;;
2014-11-23;;;;;;;;;429;163;98;195;652;;;;;;
2014-11-24;;;;;;;;;241;35;23;182;134;;;;;;
2014-11-25;;;;;;;;;153;21;9;126;53;;;;;;
2014-11-26;;;;;;;;;232;36;15;153;102;;;;;;
2014-11-27;;;;;;;;;201;21;21;166;99;;;;;;
2014-11-28;;;;;;;;;167;18;13;125;65;;;;;;
2014-11-29;;;;;;;;;102;14;10;66;170;;;;;;
2014-11-30;;;;;;;;;84;13;17;61;246;;;;;;
2014-12-01;;;;;;;;;114;5;7;111;57;;;;;;
2014-12-02;;;;;;;;;155;19;20;105;102;;;;;;
2014-12-03;;;;;;;;;127;19;10;141;89;;;;;;
2014-12-04;;;;;;;;;180;20;13;134;103;;;;;;
2014-12-05;;;;;;;;;164;22;15;126;78;;;;;;
2014-12-06;;;;;;;;;84;27;19;57;178;;;;;;
2014-12-07;;;;;;;;;122;40;28;81;270;;;;;;
2014-12-08;;;;;;;;;151;20;13;137;69;;;;;;
2014-12-09;;;;;;;;;211;42;18;162;114;;15;;;;
2014-12-10;;;;5;;;;;157;14;10;142;80;273;31;;;;
2014-12-11;;;;22;;;;;149;21;27;136;108;289;34;;;;
2014-12-12;;;;3;;;;;162;31;25;127;101;286;30;;;;
2014-12-13;;;;2;;;;;140;36;29;89;228;247;16;;;;
2014-12-14;;;;1;;;;;66;17;6;36;151;91;4;;;;
2014-12-15;;;;19;;;;;164;52;22;159;98;387;29;;;;
2014-12-16;;;;31;;;;;169;21;25;132;97;340;41;;;;
2014-12-17;;;;16;;;;;167;38;8;142;103;313;28;;;;
2014-12-18;;;;10;;;;;154;13;17;109;55;290;20;;;;
2014-12-19;;;;2;;;;;100;15;11;88;65;209;15;;;;
2014-12-20;;;;1;;;;;107;27;21;56;160;161;11;;;;
2014-12-21;;;;4;;;;;96;21;13;46;211;134;7;;;;
2014-12-22;;;;2;;;;;37;5;5;18;24;108;8;;;;
2014-12-23;;;;4;;;;;29;3;4;15;18;76;4;;;;
2014-12-24;;;;1;;;;;20;4;2;26;30;55;5;;;;
2014-12-25;;;;0;;;;;47;24;7;12;99;57;3;;;;
2014-12-26;;;;0;;;;;12;2;3;4;203;43;0;;;;
2014-12-27;;;;1;;;;;6;2;6;5;169;27;2;;;;
2014-12-28;;;;1;;;;;11;2;2;7;174;42;0;;;;
2014-12-29;;;;0;;;;;26;8;5;26;84;109;4;;;;
2014-12-30;;;;0;;;;;32;8;7;41;127;116;9;;;;
2014-12-31;;;;2;;;;;40;2;10;35;207;105;6;;;;
2015-01-01;;;;3;;;;;41;14;9;25;181;49;3;;;;
2015-01-02;;;;0;;;;;47;2;4;51;80;105;1;;;;
2015-01-03;;;;3;;;;;78;19;16;53;169;102;9;;;;
2015-01-04;;;;7;;;;;99;33;10;51;289;131;17;;;;
2015-01-05;;;;1;;;;;112;26;21;87;165;200;12;;;;
2015-01-06;;;;3;;;;;45;27;25;35;627;115;5;;;;
2015-01-07;;;;0;;;;;46;12;8;52;51;143;11;;;;
2015-01-08;;;;2;;;;;53;9;7;68;90;158;6;;;;
2015-01-09;;;;0;;;;;59;12;1;65;34;136;10;;;;
2015-01-10;;;;0;;;;;76;13;1;38;128;86;5;;;;
2015-01-11;;;;0;;;;;64;15;13;40;219;105;7;;;;
2015-01-12;;;;3;;;;;68;13;10;66;81;184;5;;;;
2015-01-13;;;;6;;;;;157;37;19;127;121;266;15;;;;
2015-01-14;;;;8;;;;;127;18;11;125;91;274;12;;;;
2015-01-15;;;;10;;;;;159;27;16;154;93;298;16;;;;
2015-01-16;;;;5;;;;;260;58;32;168;204;351;23;;;;
2015-01-17;;;;5;;;;;322;122;60;164;496;436;23;;;;
2015-01-18;;;;0;;;;;156;59;29;101;438;198;14;;;;
2015-01-19;;;;0;;;;;119;23;13;106;101;218;22;;;;
2015-01-20;;;;2;;;;;104;12;11;71;85;180;9;;;;
2015-01-21;;;;2;;;;;134;18;3;110;94;244;14;;;;
2015-01-22;;;;1;;;;;148;35;16;106;95;261;18;;;;
2015-01-23;;;;0;;;;;64;5;5;53;84;151;12;;;;
2015-01-24;;;;1;;;;;80;16;11;59;240;122;7;;;;
2015-01-25;;;;1;;;;;63;20;15;34;305;89;6;;;;
2015-01-26;;;;7;;;;;61;4;10;62;74;172;9;;;;
2015-01-27;;;;3;;;;;112;12;7;79;96;201;12;;;;
2015-01-28;;;;2;;;;;119;16;10;87;107;172;7;;;;
2015-01-29;;;;7;;;;;123;11;10;81;113;184;19;;;;
2015-01-30;;;;5;;;;;124;18;10;72;124;187;20;;;;
2015-01-31;;;;2;;;;;44;11;1;26;213;66;2;;;;
2015-02-01;;;;3;;;;;136;50;37;66;719;145;14;;;;
2015-02-02;;;;7;;;;;130;26;21;105;93;206;11;;;;
2015-02-03;;;;6;;;;;140;25;19;129;119;229;22;;;;
2015-02-04;;;;4;;;;;167;25;17;123;144;253;19;;;;
2015-02-05;;;;3;;;;;97;17;8;91;94;191;14;;;;
2015-02-06;;;;4;;;;;156;13;15;86;106;234;18;;;;
2015-02-07;;;;6;;;;;67;9;2;50;205;94;9;;;;
2015-02-08;;;;2;;;;;60;3;9;30;467;72;7;;;;
2015-02-09;;;;4;;;;;74;6;5;58;89;154;9;;;;
2015-02-10;;;;5;;;;;84;7;13;88;58;176;17;;;;
2015-02-11;;;;3;;;;;147;24;15;106;85;226;16;;;;
2015-02-12;;;;4;;;;;154;26;24;138;105;279;29;;;;
2015-02-13;;;;3;;;;;221;53;30;165;213;315;19;;;;
2015-02-14;;;;8;;;;;442;190;86;260;697;462;42;;;;
2015-02-15;;;;4;;;;;166;30;40;132;459;198;20;;;;
2015-02-16;;;;3;;;;;148;13;20;170;125;309;16;;;;
2015-02-17;;;;5;;;;;151;21;13;143;143;278;24;;;;
2015-02-18;;;;2;;;;;171;15;21;166;126;270;15;;;;
2015-02-19;;;;7;;;;;114;18;15;121;81;244;18;;;;
2015-02-20;;;;3;;;;;315;101;47;245;223;348;30;;;;
2015-02-21;;;;9;;;;;338;118;74;223;423;369;42;;;;
2015-02-22;;;;7;;;;;437;149;115;256;673;470;47;;;;
2015-02-23;;;;11;;;;;235;50;46;261;144;419;34;;;;
2015-02-24;;;;6;;;;;241;34;40;243;132;406;32;;;;
2015-02-25;;;;4;;;;;240;44;41;212;139;402;33;;;;
2015-02-26;;;;3;;;;;187;32;38;189;112;349;26;;;;
2015-02-27;;;;4;;;;;271;39;30;251;109;391;41;;;;
2015-02-28;;;;7;;;;;322;112;76;183;376;377;39;;;;
2015-03-01;;;;14;;;;;513;187;139;355;724;581;68;;;;
2015-03-02;;;;2;;;;;200;31;37;200;122;397;37;;;;
2015-03-03;;;;4;;;;;175;16;27;164;107;338;21;;;;
2015-03-04;;;;1;;;;;138;25;26;89;77;237;14;;;;
2015-03-05;;;;6;;;;;171;25;26;180;101;331;16;;;;
2015-03-06;;;;10;;;;;217;35;35;190;120;325;25;;;;
2015-03-07;;;;9;;;;;184;77;49;149;299;296;20;;;;
2015-03-08;;;;30;;;;;639;310;207;451;1053;748;83;;;;
2015-03-09;;;;13;;;;;477;112;97;388;309;779;53;;;;
2015-03-10;;;;29;;;;;637;176;161;503;513;977;77;;;;
2015-03-11;;;;21;;;;;327;41;56;259;199;559;28;;;;
2015-03-12;;;;15;;;;;374;66;60;356;236;625;42;;;;
2015-03-13;;;;9;;;;;148;11;19;158;94;294;20;;;;
2015-03-14;;;;3;;;;;66;10;13;50;186;160;12;;;;
2015-03-15;;;;16;;;;;454;132;137;270;762;508;46;;;;
2015-03-16;;;;22;;;;;485;62;113;415;369;838;58;;;;
2015-03-17;;;;25;;;;;658;128;136;538;508;1100;66;;;;
2015-03-18;;;;22;;;;;587;99;142;476;482;948;66;;;;
2015-03-19;;;;25;;;;;617;160;155;488;410;1041;76;;;;
2015-03-20;;;;28;;;;;604;168;177;465;637;932;73;;;;
2015-03-21;;;;44;;;;;1059;494;407;760;1673;1227;101;;;;
2015-03-22;;;;6;;;;;269;85;86;182;767;416;29;;;;
2015-03-23;;;;18;;;;;426;83;92;344;275;744;56;;;;
2015-03-24;;;;40;;;;;730;183;192;644;563;1176;89;;;;
2015-03-25;;;;44;;;;;866;243;243;744;697;1464;103;;;;
2015-03-26;;;;31;;;;;410;71;89;406;244;788;71;;;;
2015-03-27;;;;18;;;;;498;85;117;425;288;876;65;;;;
2015-03-28;;;;22;;;;;367;103;121;299;530;609;48;;;;
2015-03-29;;;;43;;;;;962;443;364;693;1410;1299;114;;;;
2015-03-30;;;;13;;;;;200;25;33;189;125;414;29;;;;
2015-03-31;;;;15;;;;;194;14;35;194;137;426;23;;;;
2015-04-01;;;;6;;;;;114;12;21;113;60;217;14;;;;
2015-04-02;;;;18;;;;;200;32;49;199;166;417;18;;;;
2015-04-03;;;;11;;;;;152;45;29;120;129;285;21;;;;
2015-04-04;;;;12;;;;;206;56;55;139;307;234;26;;;;
2015-04-05;;;;4;;;;;27;24;13;30;158;74;8;;;;
2015-04-06;;;;19;;;;;221;96;61;128;399;262;41;;;;
2015-04-07;;;;15;;;;;440;113;88;327;407;678;47;;;;
2015-04-08;;;;31;;;;;608;104;131;460;355;987;56;;;;
2015-04-09;;;;49;;;;;872;249;273;673;885;1441;99;;;;
2015-04-10;;;;56;;;;;1172;346;354;895;1137;1761;130;;;;
2015-04-11;;;;123;;;;;2779;1476;1020;1906;3864;3132;239;;;;
2015-04-12;;;;84;;;;;1454;698;542;924;2535;1825;176;;;;
2015-04-13;;;;17;;;;;380;26;93;424;205;859;43;;;;
2015-04-14;;;;28;;;;;550;78;116;491;373;1033;54;;;;
2015-04-15;;;;40;;;;;566;81;120;540;332;912;78;;;;
2015-04-16;;;;61;;;;;996;248;267;812;829;1515;109;;;;
2015-04-17;;;;48;;;;;704;126;145;619;441;1125;80;;;;
2015-04-18;;;;33;;;;;306;104;73;276;496;456;36;;;;
