"Godzina","Jaki_dzien","Miejsce","Czas","Data","Liczba_rowerow","Srednia"
0,"roboczy","Al. USA - suma",2017-05-08 00:00:00,2017-05-08,3,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-09 00:00:00,2017-05-09,1,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-10 00:00:00,2017-05-10,3,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-11 00:00:00,2017-05-11,5,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-12 00:00:00,2017-05-12,2,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-15 00:00:00,2017-05-15,7,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-16 00:00:00,2017-05-16,13,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-17 00:00:00,2017-05-17,7,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-18 00:00:00,2017-05-18,17,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-19 00:00:00,2017-05-19,23,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-22 00:00:00,2017-05-22,10,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-23 00:00:00,2017-05-23,16,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-24 00:00:00,2017-05-24,11,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-25 00:00:00,2017-05-25,3,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-26 00:00:00,2017-05-26,9,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-29 00:00:00,2017-05-29,7,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-30 00:00:00,2017-05-30,10,9.23076923076923
0,"roboczy","Al. USA - suma",2017-05-31 00:00:00,2017-05-31,20,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-01 00:00:00,2017-06-01,11,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-02 00:00:00,2017-06-02,6,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-05 00:00:00,2017-06-05,4,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-06 00:00:00,2017-06-06,13,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-07 00:00:00,2017-06-07,8,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-08 00:00:00,2017-06-08,9,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-09 00:00:00,2017-06-09,9,9.23076923076923
0,"roboczy","Al. USA - suma",2017-06-12 00:00:00,2017-06-12,13,9.23076923076923
0,"roboczy","Al. USA - południe",2017-05-08 00:00:00,2017-05-08,0,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-09 00:00:00,2017-05-09,0,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-10 00:00:00,2017-05-10,2,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-11 00:00:00,2017-05-11,1,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-12 00:00:00,2017-05-12,2,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-15 00:00:00,2017-05-15,6,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-16 00:00:00,2017-05-16,8,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-17 00:00:00,2017-05-17,5,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-18 00:00:00,2017-05-18,9,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-19 00:00:00,2017-05-19,13,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-22 00:00:00,2017-05-22,4,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-23 00:00:00,2017-05-23,8,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-24 00:00:00,2017-05-24,4,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-25 00:00:00,2017-05-25,1,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-26 00:00:00,2017-05-26,3,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-29 00:00:00,2017-05-29,6,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-30 00:00:00,2017-05-30,1,5.07692307692308
0,"roboczy","Al. USA - południe",2017-05-31 00:00:00,2017-05-31,11,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-01 00:00:00,2017-06-01,8,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-02 00:00:00,2017-06-02,4,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-05 00:00:00,2017-06-05,3,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-06 00:00:00,2017-06-06,9,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-07 00:00:00,2017-06-07,2,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-08 00:00:00,2017-06-08,4,5.07692307692308
0,"roboczy","Al. USA - południe",2017-06-09 00:00:00,2017-06-09,6,5.07692307692308
