"","Data","startTyg","startM","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Miejsce","Liczba_rowerow"
"1",2015-12-18,2015-12-14,2015-12-01,6.1,9.3,10.9,0,0,"roboczy","Al. USA - suma",50
"2",2015-12-19,2015-12-14,2015-12-01,8.2,9.6,11.3,0,0,"weekend","Al. USA - suma",70
"3",2015-12-20,2015-12-14,2015-12-01,4.4,6.6,9.9,0,0,"weekend","Al. USA - suma",71
"4",2015-12-21,2015-12-21,2015-12-01,0.6,5.4,8.1,2.3,0,"roboczy","Al. USA - suma",45
"5",2015-12-22,2015-12-21,2015-12-01,6.1,8.8,9.9,0,0,"roboczy","Al. USA - suma",65
"6",2015-12-23,2015-12-21,2015-12-01,9.1,11.7,14.4,0,0,"roboczy","Al. USA - suma",83
"7",2015-12-24,2015-12-21,2015-12-01,3.2,5.5,10.8,0,0,"roboczy","Al. USA - suma",43
"8",2015-12-25,2015-12-21,2015-12-01,-0.4,5.4,10,0,0,"roboczy","Al. USA - suma",42
"9",2015-12-26,2015-12-21,2015-12-01,2.5,11,13.8,0,0,"weekend","Al. USA - suma",49
"10",2015-12-27,2015-12-21,2015-12-01,6.4,9.6,13.9,2.2,0,"weekend","Al. USA - suma",96
"11",2015-12-28,2015-12-28,2015-12-01,3.1,6.5,10.4,0,0.5,"roboczy","Al. USA - suma",68
"12",2015-12-29,2015-12-28,2015-12-01,-4,-1.9,4.6,0,0,"roboczy","Al. USA - suma",75
"13",2015-12-30,2015-12-28,2015-12-01,-6.4,-4.1,-1.8,0,0,"roboczy","Al. USA - suma",44
"14",2015-12-31,2015-12-28,2015-12-01,-8.3,-5.6,-1,0,0,"roboczy","Al. USA - suma",31
"15",2016-01-01,2015-12-28,2016-01-01,-11.1,-9.1,-4.9,0,0,"roboczy","Al. USA - suma",24
"16",2016-01-02,2015-12-28,2016-01-01,-12.6,-10.7,-8.3,0,0,"weekend","Al. USA - suma",22
"17",2016-01-03,2015-12-28,2016-01-01,-16.5,-15,-12.6,0,0,"weekend","Al. USA - suma",9
"18",2016-01-04,2016-01-04,2016-01-01,-16.4,-14.1,-10.6,0,0,"roboczy","Al. USA - suma",16
"19",2016-01-05,2016-01-04,2016-01-01,-17.1,-13.6,-10.8,0,0.4,"roboczy","Al. USA - suma",24
"20",2016-01-06,2016-01-04,2016-01-01,-11.7,-6.8,-5.3,0,0,"roboczy","Al. USA - suma",14
"21",2016-01-07,2016-01-04,2016-01-01,-5.9,-5.4,-4.9,0,0,"roboczy","Al. USA - suma",22
"22",2016-01-08,2016-01-04,2016-01-01,-5.9,-3.2,1.9,0,3.3,"roboczy","Al. USA - suma",23
"23",2016-01-09,2016-01-04,2016-01-01,-1.5,0.5,2.1,0,0,"weekend","Al. USA - suma",11
"24",2016-01-10,2016-01-04,2016-01-01,-5,-1.7,0.4,0,0,"weekend","Al. USA - suma",7
"25",2016-01-11,2016-01-11,2016-01-01,-0.5,1,2.7,1.4,0,"roboczy","Al. USA - suma",8
"26",2016-01-12,2016-01-11,2016-01-01,-1.4,0.2,2.2,0,0.3,"roboczy","Al. USA - suma",28
"27",2016-01-13,2016-01-11,2016-01-01,-1.5,1,2.8,0,1.2,"roboczy","Al. USA - suma",32
"28",2016-01-14,2016-01-11,2016-01-01,-1.9,-0.8,1.7,0,0,"roboczy","Al. USA - suma",22
"29",2016-01-15,2016-01-11,2016-01-01,-3.1,-1.1,0.1,0,7.9,"roboczy","Al. USA - suma",17
"30",2016-01-16,2016-01-11,2016-01-01,-6.3,-3.9,-0.9,0,0,"weekend","Al. USA - suma",1
"31",2016-01-17,2016-01-11,2016-01-01,-9.8,-4.8,-2,0,0,"weekend","Al. USA - suma",0
"32",2016-01-18,2016-01-18,2016-01-01,-8,-6.1,-2.9,0,0.3,"roboczy","Al. USA - suma",7
"33",2016-01-19,2016-01-18,2016-01-01,-9.6,-5.5,-3.2,0,0,"roboczy","Al. USA - suma",17
"34",2016-01-20,2016-01-18,2016-01-01,-10,-6.5,-4.1,0,0.3,"roboczy","Al. USA - suma",18
"35",2016-01-21,2016-01-18,2016-01-01,-5.3,-3.3,-2,0,0.1,"roboczy","Al. USA - suma",10
"36",2016-01-22,2016-01-18,2016-01-01,-6.3,-4.5,-1.9,0,0,"roboczy","Al. USA - suma",7
"37",2016-01-23,2016-01-18,2016-01-01,-14.6,-9.6,-3.6,0,0,"weekend","Al. USA - suma",2
"38",2016-01-24,2016-01-18,2016-01-01,-12,-3.2,0.6,0,0.4,"weekend","Al. USA - suma",3
"39",2016-01-25,2016-01-25,2016-01-01,0.6,1.6,2.7,1,0,"roboczy","Al. USA - suma",15
"40",2016-01-26,2016-01-25,2016-01-01,0.4,3.3,6.2,1.5,0,"roboczy","Al. USA - suma",21
"41",2016-01-27,2016-01-25,2016-01-01,3.3,7.1,8.3,0.1,0,"roboczy","Al. USA - suma",42
"42",2016-01-28,2016-01-25,2016-01-01,5.2,7.7,11.2,0,0,"roboczy","Al. USA - suma",45
"43",2016-01-29,2016-01-25,2016-01-01,0.4,4.2,7.4,0,0,"roboczy","Al. USA - suma",41
"44",2016-01-30,2016-01-25,2016-01-01,5.4,7.7,9.6,2,0,"weekend","Al. USA - suma",98
"45",2016-01-31,2016-01-25,2016-01-01,2.9,4.4,8.4,0,0.4,"weekend","Al. USA - suma",32
"46",2016-02-01,2016-02-01,2016-02-01,1.5,3.5,5.5,1.8,0,"roboczy","Al. USA - suma",32
"47",2016-02-02,2016-02-01,2016-02-01,3.4,9.7,11.1,3.9,0,"roboczy","Al. USA - suma",35
"48",2016-02-03,2016-02-01,2016-02-01,5,5.9,10.1,0,0,"roboczy","Al. USA - suma",55
"49",2016-02-04,2016-02-01,2016-02-01,1.1,2.3,5,0,0.7,"roboczy","Al. USA - suma",29
"50",2016-02-05,2016-02-01,2016-02-01,0.2,1.4,2.5,0,0,"roboczy","Al. USA - suma",34
"51",2016-02-06,2016-02-01,2016-02-01,-1.5,2.5,6.2,0,0,"weekend","Al. USA - suma",44
"52",2016-02-07,2016-02-01,2016-02-01,0,4.3,9.5,0,0,"weekend","Al. USA - suma",127
"53",2016-02-08,2016-02-08,2016-02-01,1.3,6.3,10.2,0,0,"roboczy","Al. USA - suma",67
"54",2016-02-09,2016-02-08,2016-02-01,6.5,8.5,10.3,0.4,0,"roboczy","Al. USA - suma",65
"55",2016-02-10,2016-02-08,2016-02-01,1,5.5,9.4,0,16.2,"roboczy","Al. USA - suma",20
"56",2016-02-11,2016-02-08,2016-02-01,0.2,1.7,3.4,0,5.6,"roboczy","Al. USA - suma",31
"57",2016-02-12,2016-02-08,2016-02-01,1.3,3.1,6.7,0.1,0,"roboczy","Al. USA - suma",38
"58",2016-02-13,2016-02-08,2016-02-01,1.1,3,5.1,0.2,0,"weekend","Al. USA - suma",72
"59",2016-02-14,2016-02-08,2016-02-01,2.6,5,8.6,0,0,"weekend","Al. USA - suma",113
"60",2016-02-15,2016-02-15,2016-02-01,1.5,4.9,7.8,0,0,"roboczy","Al. USA - suma",84
"61",2016-02-16,2016-02-15,2016-02-01,1.5,3.6,6.3,0,0,"roboczy","Al. USA - suma",88
