"","Data","startTyg","startM","Al. USA - suma","Al. USA - południe","Al. USA - północ","Banacha","Bazyliańska","Belwederska","Dworzec Wilenski (al. Solidarności)","Dworzec Wileński (Targowa)","Marsa","Marszałkowska","Most Gdański - suma","Most Gdański - ciąg pieszo-rowerowy","Most Gdanski - ścieżka rowerowa","NSR - Solec - suma","NSR - Solec - ciąg pieszo-rowerowy","NSR-Solec - ścieżka rowerowa","Praska ścieżka rekreacyjna","Świętokrzyska - Emilii Plater - suma","Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn","Wybrzeże Helskie","Wysockiego","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena zach.","Żwirki i Wigury/Trojdena wsch."
"1",2014-08-13,2014-08-11,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,0,102,66,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2014-08-14,2014-08-11,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,0,576,195,114,81,108,NA,NA,NA,NA,NA,NA,NA,NA
"3",2014-08-15,2014-08-11,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2585,0,2585,1414,861,553,1146,NA,NA,NA,NA,NA,NA,NA,NA
"4",2014-08-16,2014-08-11,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,0,484,214,134,80,201,NA,NA,NA,NA,NA,NA,NA,NA
"5",2014-08-17,2014-08-11,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,0,1138,393,273,120,617,NA,NA,NA,NA,NA,NA,NA,NA
"6",2014-08-18,2014-08-18,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971,0,971,298,172,126,322,NA,NA,NA,NA,NA,NA,NA,NA
"7",2014-08-19,2014-08-18,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248,0,1248,353,224,129,460,NA,NA,NA,NA,NA,NA,NA,NA
"8",2014-08-20,2014-08-18,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,0,1334,435,262,173,589,NA,NA,NA,NA,NA,NA,NA,NA
"9",2014-08-21,2014-08-18,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,0,731,178,100,78,232,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014-08-22,2014-08-18,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,0,1130,456,207,249,458,NA,NA,NA,NA,NA,NA,NA,NA
