Data;Al. USA - południe;Al. USA - północ;Banacha;Bazyliańska;Belwederska;Dworzec Wilenski (al. Solidarności);Dworzec Wileński Nowy( Targowa);Marsa;Marszałkowska;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Piesi;Rowery;Wybrzeże Helskie;Wysockiego;Świętokrzyska - Emilii Plater, płn;Świętokrzyska - Emilii Plater, płd;Żwirki i Wigury/Trojdena wsch.;Żwirki i Wigury/Trojdena zach.
2017-06-22;1030;549;4456;308;1919;2003;1731;;1675;1702;1399;887;2140;781;392;389;2911;925;2938;3444;2763;702
2017-06-23;459;230;1588;125;580;839;867;;702;597;407;300;802;303;151;152;1116;348;1152;1326;903;248
2017-06-24;832;398;1739;201;1129;1278;1320;;1176;2429;1367;960;2234;1165;450;715;2308;595;1680;1774;1150;344
2017-06-25;1510;741;3125;360;1939;1932;1870;;1231;3579;3496;2293;3970;2106;647;1459;3732;1138;2360;2362;2112;419
2017-06-26;795;423;3798;200;1478;1634;1591;;1390;1121;950;638;1506;470;243;227;2332;650;2582;2875;2266;550
2017-06-27;1290;695;5318;378;2310;2484;2257;;1948;2523;2254;1393;3082;1195;421;774;3697;1238;3531;3927;3174;736
2017-06-28;366;231;1504;121;634;844;967;;723;658;583;361;720;294;122;172;1125;396;1248;1356;917;240
2017-06-29;765;442;3305;240;1349;1491;1567;;1276;1068;1060;653;1505;360;129;231;2062;728;2187;2533;2023;501
2017-06-30;495;235;2604;121;971;1087;1214;;1057;559;513;353;904;696;590;106;1324;364;1751;2102;1428;365
2017-07-01;935;442;2204;217;1334;1391;1645;;1180;1990;2083;1638;2487;1298;501;797;2588;692;1876;1945;1365;323
2017-07-02;667;358;1486;157;863;1029;980;;843;1219;1419;931;1593;854;336;518;1568;481;1261;1344;1018;210
2017-07-03;984;472;3873;245;1618;1716;1688;;1487;1392;1323;821;1716;645;214;431;2466;752;2590;3058;2228;572
2017-07-04;727;329;2833;173;1204;1435;1271;;1128;916;896;533;1382;484;227;257;1708;526;1753;2253;1623;406
2017-07-05;713;351;3352;210;985;1488;1323;;1329;880;874;472;1391;346;138;208;1902;563;2172;2578;1962;509
2017-07-06;1253;547;4526;333;1473;2091;1911;;1866;1962;1678;1068;2499;835;276;559;3176;1018;3005;3440;2644;604
2017-07-07;997;485;3826;293;1443;1918;1804;;1458;1452;1579;895;2014;691;275;416;2813;906;2688;3129;2307;516
2017-07-08;867;515;2027;273;1250;1387;1462;;1102;2067;2064;1305;2443;1229;394;835;2426;867;1771;1853;1386;308
2017-07-09;1295;725;2939;419;1855;2150;1748;;1288;4044;3721;2435;4452;2321;691;1630;3977;1348;2445;2585;1959;386
2017-07-10;874;438;3688;235;1573;1809;1686;;1673;1242;1188;766;1560;518;232;286;2565;688;2615;3071;2212;542
2017-07-11;788;401;3383;241;1435;1681;1489;;1377;1022;952;668;1559;376;178;198;2209;629;2307;2820;2063;522
2017-07-12;962;533;3844;324;1644;2008;1849;;1654;1492;1701;1055;2136;593;225;368;2859;917;2752;3195;2293;546
2017-07-13;473;308;1669;138;735;896;941;;720;745;777;555;1128;375;172;203;1165;430;1200;1468;942;306
2017-07-14;1057;495;3737;299;1698;1933;1783;;1706;1746;1614;924;2291;771;279;492;2825;839;2796;3205;2102;498
2017-07-15;994;500;2020;225;1448;1432;1455;363;1097;2152;1941;1540;2366;1380;473;907;2499;747;1815;1980;1234;262
2017-07-16;1281;707;3098;371;2480;1963;1921;589;1476;3608;3257;2351;4022;2081;686;1395;3886;1185;2646;2709;1912;395
2017-07-17;684;374;2242;188;1137;1333;1310;277;1062;935;950;661;1369;419;179;240;1682;598;1774;1982;1388;350
2017-07-18;1304;629;4783;343;2404;2420;2023;509;1926;2042;1943;1228;2934;897;296;601;3557;1057;3374;3807;2789;597
2017-07-19;1343;666;4778;376;2419;2513;2111;521;1830;2117;2282;1329;3179;1053;365;688;3684;1095;3282;3920;2832;599
2017-07-20;1129;496;4127;305;2413;2240;1835;474;1902;1735;1495;883;2237;698;273;425;3056;947;3152;3685;2486;548
2017-07-21;696;320;2850;186;1288;1421;1373;262;1323;874;828;419;1245;391;202;189;1915;501;2108;2509;1636;413
2017-07-22;1075;621;2577;299;1971;1813;1815;354;1543;2922;2755;1550;3758;1673;532;1141;3277;1039;2169;2494;1587;363
2017-07-23;572;322;1482;142;1053;881;1014;228;816;1483;1369;884;1637;882;384;498;1597;525;1292;1413;1092;242
2017-07-24;1172;586;4311;309;2176;2111;1990;439;2020;1943;1920;1234;2568;922;299;623;3284;1061;3225;3702;2656;610
2017-07-25;351;177;1532;117;594;880;944;185;693;504;354;276;643;197;119;78;1058;400;1114;1359;854;215
2017-07-26;874;377;2862;202;1343;1425;1421;339;1322;1119;1133;688;1650;453;156;297;2006;686;2192;2584;1733;415
2017-07-27;1129;518;4027;294;1866;2055;1932;424;1777;1633;1816;1183;2243;789;287;502;2972;1004;2863;3511;2376;520
2017-07-28;499;255;2412;163;938;1101;1191;243;1093;704;700;481;983;299;154;145;1706;468;1794;2365;1373;349
2017-07-29;1104;578;2623;304;1727;1812;1707;479;1528;2867;2721;1525;4333;1642;533;1109;3322;944;2028;2667;1538;358
2017-07-30;1265;640;2905;317;1804;1950;;478;1204;3582;3245;2019;4481;2087;647;1440;3535;1042;2108;2504;2003;420
2017-07-31;;;;;;;;;;;;;;;;;;;;;;
