Data;Al. USA - południe;Al. USA - północ;Banacha;Bazyliańska;Belwederska;Dworzec Wilenski (al. Solidarności);Dworzec Wileński Nowy( Targowa);Marszałkowska;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Rowery (Praska ścieżka rekreacyjna);Wybrzeże Helskie;Wysockiego;Świętokrzyska - Emilii Plater, płn;Świętokrzyska - Emilii Plater, płd;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena
2017-01-26;54;4;422;15;140;114;91;151;146;32;22;135;8;179;56;319;229;190;8
2017-01-27;60;9;376;11;131;134;92;141;126;37;20;133;9;167;54;290;233;212;10
2017-01-28;58;11;128;8;79;95;74;74;172;59;38;95;14;135;34;136;97;87;10
2017-01-29;70;14;139;9;74;73;66;55;189;53;28;92;14;139;50;121;83;60;11
2017-01-30;75;15;386;18;129;165;130;165;186;24;15;160;0;187;49;299;256;198;34
2017-01-31;61;26;459;11;160;155;129;163;177;35;29;153;6;192;58;321;257;212;29
2017-02-01;66;21;416;11;149;130;123;163;164;28;18;134;5;183;50;327;270;195;41
2017-02-02;52;7;353;6;122;139;76;133;106;28;17;96;7;156;54;280;202;142;25
2017-02-03;43;2;345;4;117;127;96;139;98;32;13;103;3;148;48;250;224;172;27
2017-02-04;41;1;137;5;65;71;70;68;97;27;16;68;11;89;32;123;74;74;10
2017-02-05;29;3;96;1;37;42;50;41;67;24;25;43;14;90;18;54;79;25;5
2017-02-06;45;4;371;13;117;130;76;128;135;23;12;94;6;163;50;256;222;174;24
2017-02-07;43;10;306;2;92;104;76;106;81;24;12;71;7;131;40;214;172;163;9
2017-02-08;44;1;239;2;76;91;32;96;65;30;13;56;5;107;39;175;157;110;0
2017-02-09;39;3;279;2;80;94;38;118;81;22;7;59;10;120;28;198;163;125;3
2017-02-10;46;3;287;0;104;94;37;127;94;27;8;70;9;117;34;224;194;120;1
2017-02-11;31;3;77;0;42;46;33;56;65;25;17;48;23;69;23;69;67;33;2
2017-02-12;19;0;64;0;38;42;29;37;47;10;13;28;15;52;20;61;32;30;0
2017-02-13;42;0;262;1;88;121;79;122;110;17;9;68;13;125;46;243;198;124;2
2017-02-14;41;4;329;1;111;119;70;133;123;41;17;90;9;131;42;262;227;130;8
2017-02-15;48;7;360;2;137;117;83;168;110;31;20;110;14;160;50;262;237;143;28
2017-02-16;65;15;329;1;132;135;140;171;152;58;31;118;10;176;51;310;257;151;45
2017-02-17;24;10;184;1;75;97;73;99;60;19;7;56;0;79;37;187;167;99;18
2017-02-18;47;23;127;1;69;52;88;58;83;60;17;61;1;90;28;122;94;66;22
2017-02-19;56;19;106;2;72;82;68;98;146;93;61;86;6;129;44;116;86;55;13
2017-02-20;65;26;342;13;128;147;92;188;147;59;24;138;1;196;60;322;265;164;42
2017-02-21;78;32;418;24;160;157;111;214;124;86;51;122;7;185;54;332;292;203;62
2017-02-22;60;19;342;18;114;123;90;156;95;67;21;105;1;161;45;236;239;168;50
2017-02-23;77;31;386;13;160;150;119;206;125;76;40;102;5;184;59;326;269;183;61
2017-02-24;47;13;279;7;76;96;76;126;51;34;11;74;6;127;27;205;189;115;41
2017-02-25;72;27;118;8;79;95;107;74;136;92;56;92;26;143;49;152;84;77;22
2017-02-26;42;35;121;5;84;80;52;45;128;77;40;61;14;109;35;90;78;60;14
2017-02-27;185;75;825;54;373;322;231;290;411;292;186;306;44;405;169;545;485;440;124
2017-02-28;211;134;1031;53;472;365;306;388;437;345;175;375;44;563;200;756;583;581;150
2017-03-01;138;85;974;38;377;308;276;399;340;157;137;249;28;414;136;695;606;472;134
2017-03-02;131;62;993;36;315;285;265;346;227;113;72;235;32;394;95;644;562;418;138
2017-03-03;165;87;971;27;370;315;313;359;266;179;83;268;35;425;149;714;613;459;144
2017-03-04;359;216;1162;82;696;613;613;608;1057;1071;714;808;492;1162;378;1082;778;707;200
2017-03-05;641;356;1540;172;956;831;797;723;1919;1679;1048;1234;864;1673;578;1444;1183;952;216
2017-03-06;90;62;590;19;202;210;187;235;161;65;32;140;17;207;66;473;383;250;77
2017-03-07;150;75;1064;37;396;322;317;408;346;189;102;289;38;444;136;761;656;530;182
2017-03-08;154;104;1195;43;486;439;384;512;388;216;131;325;37;550;182;984;848;507;180
2017-03-09;119;66;1083;41;384;349;324;386;309;179;70;251;26;432;127;727;696;509;156
2017-03-10;168;79;1073;53;436;405;385;469;344;258;143;292;40;543;163;889;756;499;192
2017-03-11;141;89;574;51;272;329;367;285;456;408;189;320;142;522;146;581;470;334;108
2017-03-12;226;150;602;44;333;298;289;294;507;379;249;301;287;548;212;593;471;357;121
2017-03-13;197;103;1284;64;451;432;369;513;389;223;143;363;61;614;194;984;850;625;197
2017-03-14;253;162;1661;85;699;613;558;634;590;406;257;530;109;855;253;1185;1035;843;296
2017-03-15;185;113;1409;54;462;518;492;590;434;275;169;396;85;677;176;1058;917;674;271
2017-03-16;222;108;1496;56;549;583;512;577;440;277;169;404;92;732;195;1178;1013;748;281
2017-03-17;211;94;1232;54;494;454;419;506;404;277;167;362;102;636;178;965;896;632;223
2017-03-18;79;40;326;23;134;162;178;159;171;145;68;133;65;221;68;266;213;177;54
2017-03-19;88;56;301;11;177;153;163;151;218;166;85;147;54;263;65;349;281;182;68
2017-03-20;;;;;;;;;;;;;29;;;;;;
