"","Data","startTyg","startM","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Miejsce","Liczba_rowerow"
"1",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. USA - suma",527
"2",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. USA - południe",346
"3",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. USA - północ",181
"4",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Banacha",662
"5",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Belwederska",332
"6",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wilenski (al. Solidarności)",460
"7",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wileński (Targowa)",662
"8",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Marszałkowska",462
"9",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Most Gdanski - ścieżka rowerowa",424
"10",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR - Solec - suma",1008
"11",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR - Solec - ciąg pieszo-rowerowy",288
"12",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR-Solec - ścieżka rowerowa",720
"13",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Praska ścieżka rekreacyjna",278
"14",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska - Emilii Plater - suma",860
"15",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska - Emilii Plater, płd",820
"16",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska - Emilii Plater, płn",40
"17",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Wybrzeże Helskie",618
"18",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Wysockiego",172
"19",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena - suma",475
"20",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena zach.",77
"21",2017-09-02,2017-08-28,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena wsch.",398
