"Data","temp_max","temp_min","temp_avg","deszcz","snieg"
2014-01-01,2.2,0.7,1.5,0,0
2014-01-02,2.2,-1.8,0.5,0,0
2014-01-03,5.1,0.4,2.1,2.2,0
2014-01-04,7.7,0.7,3.6,2.8,0
2014-01-05,9.2,2.6,6.4,4,0
2014-01-06,6.5,2.6,4.5,0,0
2014-01-07,9.9,2.1,4.3,0,0
2014-01-08,9.8,-0.4,5.2,2,0
2014-01-09,9.7,2.7,6.1,0,0
2014-01-10,9.4,5.8,7.2,0,0
2014-01-11,6.1,4.1,5.2,1.8,0
2014-01-12,5.4,1.9,3.2,0,5.8
2014-01-13,3.6,-2.9,-1.3,0,0
2014-01-14,1.1,-3,-0.6,6,0
2014-01-15,1.3,-1.6,-0.2,0,4.5
2014-01-16,-1.6,-2.7,-2.2,0,2
2014-01-17,0.8,-2.2,-0.7,0,9.6
2014-01-18,1.7,-2.1,-1.1,0,0
2014-01-19,-2.1,-6.1,-5.1,0,1.3
2014-01-20,-5.1,-6.2,-5.7,0,0.2
2014-01-21,-5.7,-8.1,-7.5,0,0
2014-01-22,-7.3,-11.3,-8.9,0,0
2014-01-23,-6.5,-15.6,-12,0,0
2014-01-24,-10.8,-16.9,-14,0,0
2014-01-25,-12.1,-17.5,-14.5,0,1.3
2014-01-26,-8.2,-13.1,-9.7,0,1.1
2014-01-27,-6.6,-8.9,-7.6,0,0.5
2014-01-28,-5.8,-8.8,-7.8,0,0.2
2014-01-29,-7.9,-10.7,-9.9,0,0.4
2014-01-30,-9.5,-12.2,-11.4,0,2.4
2014-01-31,-6.4,-13.8,-9.9,0.1,0
2014-02-01,-1.5,-9.2,-5.3,0,0
2014-02-02,-2,-3.9,-2.8,0.2,0
2014-02-03,2,-5.5,-2.8,0,0
2014-02-04,3.6,-10.1,-3.7,0,0
2014-02-05,5.1,-8.5,-1.3,0,0
2014-02-06,5.4,-2.3,1.3,0,0
2014-02-07,4.8,-1.4,2.4,1.4,0
2014-02-08,8.7,2.1,4.6,0,0
2014-02-09,8.8,1,3.8,4.8,0
2014-02-10,7.4,1.2,3.1,3.6,0
2014-02-11,6.9,0.6,3.5,0,0
2014-02-12,5.5,-1.3,1.2,2.6,0
2014-02-13,2.9,-2.3,0.3,0,0
2014-02-14,5.6,0.6,2.8,0,0
2014-02-15,7.6,-2.3,2.9,1.2,0
2014-02-16,9.5,1.3,4.9,0,0
2014-02-17,7.3,1.1,3.8,0,0
2014-02-18,10.8,-1.5,4.5,0,0
2014-02-19,6.2,0.8,3.7,0,0
2014-02-20,8.1,1.7,5.2,0,0
2014-02-21,10.2,-1.7,4,0,0
2014-02-22,8.1,0.2,4,0,0
2014-02-23,10.4,-4.2,3,0,0
2014-02-24,7.1,-3.4,1.9,0,0
2014-02-25,5.8,-0.8,1.6,0,0
2014-02-26,6.6,-2.5,1.2,0,0
