"","Data","temp_min","temp_avg","temp_max"
"1","2014-07-28",18.9,23.6,30.1
"2","2014-07-29",18.7,24,29.9
"3","2014-07-30",18.3,23.3,27.9
"4","2014-07-31",19.3,24.1,28.8
"5","2014-08-01",19.9,21.1,24.3
"6","2014-08-02",19.2,24.8,31.6
"7","2014-08-03",18.5,25.4,31
"8","2014-08-04",19.9,24.3,32.8
"9","2014-08-05",17.4,21.7,25.9
"10","2014-08-06",16.9,20.1,24.2
"11","2014-08-07",17.5,21.4,26
"12","2014-08-08",17.3,19.1,22.2
"13","2014-08-09",15.2,21,27.3
"14","2014-08-10",17.3,23.5,29.1
"15","2014-08-11",18.8,22.9,29.8
"16","2014-08-12",17.4,19.1,22.8
"17","2014-08-13",13,18.8,23.3
"18","2014-08-14",17.6,18.7,20.7
"19","2014-08-15",13.3,18.6,23.5
"20","2014-08-16",13.1,15.4,19.7
"21","2014-08-17",12.4,15.1,18.7
"22","2014-08-18",13.4,18.6,23.4
"23","2014-08-19",11.9,16.2,20.6
"24","2014-08-20",11.6,15.7,20.8
"25","2014-08-21",9.1,12.6,17.1
"26","2014-08-22",6.5,14.6,21.3
"27","2014-08-23",11.3,17,23.3
"28","2014-08-24",12.2,13.7,18.2
"29","2014-08-25",9,12.8,18.6
"30","2014-08-26",9.9,12.2,14.4
"31","2014-08-27",6.5,12.6,17.6
"32","2014-08-28",9.8,13.9,20.6
"33","2014-08-29",8.8,16.2,22.3
"34","2014-08-30",14.4,18,22.4
"35","2014-08-31",14.3,18.5,23.4
"36","2014-09-01",13.4,14.9,18.7
"37","2014-09-02",12.8,15.1,19
"38","2014-09-03",11.1,15.7,21
"39","2014-09-04",9.9,15.9,21.8
"40","2014-09-05",9,15,21.2
"41","2014-09-06",9.6,16.2,23.2
"42","2014-09-07",10.8,18,24.6
"43","2014-09-08",12.7,18.7,26
"44","2014-09-09",13.5,17.3,21.8
"45","2014-09-10",9.3,14.6,18.5
"46","2014-09-11",11.3,15.4,17.6
"47","2014-09-12",15.4,20.4,26.3
"48","2014-09-13",14.3,20.4,26.8
"49","2014-09-14",16.4,20.5,26.6
"50","2014-09-15",13.9,17.7,23.4
"51","2014-09-16",9.5,14.5,19.9
"52","2014-09-17",8.8,14.6,20.7
"53","2014-09-18",8.8,15.9,23
"54","2014-09-19",9.9,15.8,21.8
"55","2014-09-20",13.5,16.4,20.8
"56","2014-09-21",11.3,14.7,18.3
"57","2014-09-22",11.8,13.5,16.2
"58","2014-09-23",8,9.4,13.6
"59","2014-09-24",2.8,8.1,14
"60","2014-09-25",6,10.8,16.9
"61","2014-09-26",8.3,11.1,15.2
"62","2014-09-27",8.5,13.2,17.7
"63","2014-09-28",5,12,18.4
"64","2014-09-29",5.1,13.1,21.1
"65","2014-09-30",9.8,15,19.2
"66","2014-10-01",11.7,13.2,15.6
"67","2014-10-02",8.3,12.6,17.9
"68","2014-10-03",4.7,10.7,17.1
"69","2014-10-04",3.5,9.5,16.2
