Miejsce,Opis,lat,lon
Al. Jerozolimskie - suma,,,
Al. Jerozolimskie płd.,,"52,22419747287937","20,98675498739875"
Al. Jerozolimskie płn.,,"52,2240947751839","20,985454407389184"
Al. USA - suma,,,
Al. USA płd.,,"52,23031","21,070719"
Al. USA płn.,,"52,23064","21,069704"
Banacha,,"52,21058","20,986546"
Bazyliańska,,"52,29122","21,01915"
Belwederska,,"52,21154","21,026775"
Dworzec Wileński (al. Solidarności),,"52,2553","21,035776"
Dworzec Wileński (Targowa),,"52,254055","21,035517"
Marsa,,"52,250798536678815", "21,147392299143817"
Marszałkowska,,"52,2359231849","21,0077606974"
NSR Most Gdański - suma,,,
NSR Most Gdański ciąg pieszo-rowerowy,,"52,260525","21,007986"
NSR Most Gdański ścieżka rowerowa,,"52,260445","21,007914"
NSR Solec - suma,,,
NSR Solec ciąg pieszo-rowerowy,,"52,231167","21,042242"
NSR Solec ścieżka rowerowa,,"52,230988","21,041431"
Praska ścieżka rekreacyjna,,"52,24011","21,03948"
Świętokrzyska/Emilii Plater - suma,,,
"Świętokrzyska/Emilii Plater płd.",,"52,233852","21,00201"
"Świętokrzyska/Emilii Plater płn.",,"52,2338912228","21,0018517909"
Wybrzeże Helskie,,"52,2620480441","21,0149154882"
Wysockiego,,"52,290447","21,019197"
Żwirki i Wigury/Trojdena - suma,,,
"Żwirki i Wigury/Trojdena wsch.",,"52,205463","20,986628"
"Żwirki i Wigury/Trojdena zach.",,"52,205696","20,985958"
