"Miejsce","kolor","linia","font","alfa"
"al. Solidarności/Dworzec Wileński","#dd466e","solid","bold",1
"al. Stanów Zjednoczonych - suma","#d38b85","solid","bold",1
"al. Stanów Zjednoczonych N","#d38b85","dashed","normal",0.7
"al. Stanów Zjednoczonych S","#d38b85","dotdash","normal",0.4
"Aleje Jerozolimskie/pl. Zawiszy - suma","#e25233","solid","bold",1
"Aleje Jerozolimskie/pl. Zawiszy N","#e25233","dashed","normal",0.7
"Aleje Jerozolimskie/pl. Zawiszy S","#e25233","dotdash","normal",0.4
"Banacha/Żwirki i Wigury","#a2432c","solid","bold",1
"Bazyliańska/Wysockiego","#693525","solid","bold",1
"Belwederska","#c48738","solid","bold",1
"Bystra/Radzymińska","#dcc435","solid","bold",1
"Czerniakowska - suma","#c2b47b","solid","bold",1
"Czerniakowska E","#c2b47b","dashed","normal",0.7
"Czerniakowska W","#c2b47b","dotdash","normal",0.4
"Jagiellońska","#b3be56","solid","bold",1
"Marsa","#4b5827","solid","bold",1
"Marszałkowska/Metro Świętokrzyska","#a4da3f","solid","bold",1
"NSR Most Gdański - suma","#5a9239","solid","bold",1
"NSR Most Gdański CPR","#5a9239","dashed","normal",0.7
"NSR Most Gdański DDR","#5a9239","dotdash","normal",0.4
"NSR Solec - suma","#5ad54e","solid","bold",1
"NSR Solec CPR","#5ad54e","dashed","normal",0.7
"NSR Solec DDR","#5ad54e","dotdash","normal",0.4
"Okopowa/rondo Radosława","#64d88f","solid","bold",1
"Praska ścieżka rekreacyjna","#84cea9","solid","bold",1
"Przyczółkowa/al. Wilanowska","#43866b","solid","bold",1
"Radzymińska/Jórskiego","#67ccda","solid","bold",1
"Szaserów - suma","#5a9dcd","solid","bold",1
"Szaserów N","#5a9dcd","dashed","normal",0.7
"Szaserów S","#5a9dcd","dotdash","normal",0.4
"Świętokrzyska/Emilii Plater - suma","#535c8a","solid","bold",1
"Świętokrzyska/Emilii Plater N","#535c8a","dashed","normal",0.7
"Świętokrzyska/Emilii Plater S","#535c8a","dotdash","normal",0.4
"Świętokrzyska/Zielna (display)","#747ad6","solid","bold",1
"Targowa/Dworzec Wileński","#614ccf","solid","bold",1
"Towarowa/Łucka","#b9a7d6","solid","bold",1
"Wiertnicza","#3e257c","solid","bold",1
"Wybrzeże Helskie/Starzyńskiego","#8f32d0","solid","bold",1
"Wysockiego","#3e1e42","solid","bold",1
"Żwirki i Wigury/1 Sierpnia","#cb55d8","solid","bold",1
"Żwirki i Wigury/Trojdena - suma","#853d89","solid","bold",1
"Żwirki i Wigury/Trojdena E","#853d89","dashed","normal",0.7
"Żwirki i Wigury/Trojdena W","#853d89","dotdash","normal",0.4
