"","Data","startTyg","startM","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Miejsce","Liczba_rowerow"
"1",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie - suma",1252
"2",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie płd.",137
"3",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie płn.",1115
"4",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA - suma",1219
"5",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA płd.",787
"6",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA płn.",432
"7",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Banacha",2367
"8",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Bazyliańska",146
"9",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Belwederska",884
"10",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wileński (al. Solidarności)",1002
"11",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wileński (Targowa)",1006
"12",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Marsa",354
"13",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Marszałkowska",1107
"14",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański - suma",1884
"15",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański ciąg pieszo-rowerowy",980
"16",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański ścieżka rowerowa",904
"17",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec - suma",1958
"18",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec ciąg pieszo-rowerowy",537
"19",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec ścieżka rowerowa",1421
"20",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Praska ścieżka rekreacyjna",217
"21",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater - suma",2301
"22",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater płd.",2223
"23",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater płn.",78
"24",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Wybrzeże Helskie",1451
"25",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Wysockiego",458
"26",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena - suma",1690
"27",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena wsch.",1350
"28",2017-09-29,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena zach.",340
"29",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie - suma",659
"30",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie płd.",94
"31",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Al. Jerozolimskie płn.",565
"32",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA - suma",1304
"33",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA płd.",819
"34",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"al. USA płn.",485
"35",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Banacha",1551
"36",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Bazyliańska",149
"37",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Belwederska",827
"38",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wileński (al. Solidarności)",853
"39",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Dworzec Wileński (Targowa)",893
"40",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Marsa",325
"41",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Marszałkowska",836
"42",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański - suma",3303
"43",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański ciąg pieszo-rowerowy",1817
"44",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Most Gdański ścieżka rowerowa",1486
"45",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec - suma",2910
"46",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec ciąg pieszo-rowerowy",1206
"47",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"NSR Solec ścieżka rowerowa",1704
"48",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Praska ścieżka rekreacyjna",902
"49",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater - suma",1675
"50",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater płd.",1608
"51",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Świętokrzyska/Emilii Plater płn.",67
"52",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Wybrzeże Helskie",1561
"53",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Wysockiego",476
"54",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena - suma",1009
"55",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena wsch.",803
"56",2017-09-30,2017-09-25,2017-09-01,NA,NA,NA,NA,NA,NA,"Żwirki i Wigury/Trojdena zach.",206
