"Data","temp_max","temp_min","temp_avg","deszcz","snieg"
2016-01-01,-2.6,-12.6,-8.9,0,0.1
2016-01-02,-8,-12.7,-10.6,0,0.1
2016-01-03,-9.9,-15,-13.2,0,0
2016-01-04,-8,-16.4,-11.9,0,0.1
2016-01-05,-5.9,-8.6,-7.4,0,0.7
2016-01-06,-1.3,-6.5,-3.3,0,0
2016-01-07,-1.7,-3.2,-2.6,0,0
2016-01-08,3.5,-3.6,-1.7,0,0.8
2016-01-09,3.5,-8.3,-2.8,0.1,0
2016-01-10,1.7,-2.8,0.2,2.7,0
2016-01-11,3.1,-1.2,0.6,2.5,0
2016-01-12,6.1,1.7,3.7,4.4,0
2016-01-13,4.8,1,2.9,0,1.6
2016-01-14,2.8,-0.7,0.5,0,0.4
2016-01-15,2.5,-2.5,-0.1,0,0.6
2016-01-16,1.2,-4.6,-1.7,0,0
2016-01-17,-3.5,-6.3,-4.7,0,0.1
2016-01-18,-2.6,-7.7,-4.5,0,0.1
2016-01-19,-3.4,-8.2,-5.8,0,0
2016-01-20,-2.6,-14,-8,0,0.2
2016-01-21,-3,-7.8,-4.6,0,0.3
2016-01-22,-3.5,-10.1,-6.7,0,0
2016-01-23,-2.9,-17.6,-9.9,0,1.6
2016-01-24,1.4,-6,-0.7,0,0
2016-01-25,3,-2.1,1.5,0.2,0
2016-01-26,7.1,2.1,4.2,0,0
2016-01-27,10.2,0.7,5.4,0,0
2016-01-28,13,4.4,7.1,0.3,0
2016-01-29,7.1,-2.3,1.8,0,0
2016-01-30,13.4,-1.4,6.6,1.5,0
2016-01-31,9.3,1.6,3.9,0,1
2016-02-01,5,1,3.4,1.7,0
2016-02-02,11.8,3.5,10,2,0
2016-02-03,10.4,3.6,6.1,0,0
2016-02-04,4.5,0.5,2.1,0,1.6
2016-02-05,2.6,-1.1,0.7,0,0.5
2016-02-06,8.4,-1.9,2.1,0,0
2016-02-07,12.1,-1.6,5,0,0
2016-02-08,11.5,1.8,7.8,0.3,0
2016-02-09,12.8,5.7,10.2,0,0
2016-02-10,12.7,0.5,6,0,15.4
2016-02-11,4.5,0.3,1.8,0,1.6
2016-02-12,5.6,-1.8,1.6,0.6,0
2016-02-13,5.1,0.7,2.9,0.3,0
2016-02-14,11.4,0.7,4.9,9.1,0
2016-02-15,8.1,4.3,6,2.4,0
2016-02-16,6.2,2.7,3.5,0,0
2016-02-17,4.5,-1.5,2.3,0,0
2016-02-18,10.2,3.1,6.2,7.8,0
2016-02-19,8.1,0.2,3,0,12.7
2016-02-20,4.5,-0.4,1.3,0.9,0
2016-02-21,9.1,0.1,5.2,3,0
2016-02-22,14.9,5.7,12.2,0,0
2016-02-23,13.4,0.6,4.8,0,9.2
2016-02-24,4.7,0.1,1.2,0,0.2
2016-02-25,2.9,-4.4,-0.7,0,0.8
2016-02-26,4,-0.4,0.4,0,0
2016-02-27,4.3,-5.6,-0.2,0,1.5
2016-02-28,5.3,0.2,2.6,0.3,0
2016-02-29,4.7,3,3.8,13.6,0
2016-03-01,4.6,0.3,2.1,0,5.7
2016-03-02,7,-0.8,2.6,0.1,0
2016-03-03,7.1,2.5,4.6,0,0
2016-03-04,6.1,3.2,4.4,0,0
2016-03-05,10.5,0,4.4,0,0
2016-03-06,11.5,2,6.4,0,0
2016-03-07,7.1,-0.8,3.9,0.7,0
2016-03-08,8,3.7,5.6,0,0
2016-03-09,7.7,2.5,5,0,0
2016-03-10,5.5,4.1,4.6,0.8,0
2016-03-11,7.3,4.2,5.5,1.2,0
2016-03-12,6.7,4.6,4.9,0.7,0
2016-03-13,5,2,3.6,0.1,0
2016-03-14,6.9,-1.6,3.3,0,2.8
2016-03-15,5.2,0.2,1.1,0,0.7
2016-03-16,7,-1.3,2,0,0
2016-03-17,10.4,-3.9,2.7,0,0
2016-03-18,11.7,-1.6,4.8,0,1.1
2016-03-19,5.2,-0.6,1.9,0,0
2016-03-20,5.8,-1.1,2.8,0,0
2016-03-21,7.4,3.2,4.8,1,0
2016-03-22,7.3,3.1,4.8,0,1.5
2016-03-23,5.9,1.5,3.6,0.1,0
2016-03-24,7.7,-2.4,2.4,0,0
2016-03-25,8.6,-1.2,4.4,0.1,0
2016-03-26,7.9,3.1,5.8,0.4,0
2016-03-27,11,3.7,6.2,0,0
2016-03-28,14.5,-1.3,6.8,0,0
2016-03-29,15.3,3.2,8.8,0,0
2016-03-30,16.3,1.4,9.2,0.9,0
2016-03-31,17.1,6.7,11.3,0,0
2016-04-01,12.3,4.3,5.6,0,0
2016-04-02,11.9,-2.2,5.2,0,0
2016-04-03,18.6,-0.5,9.3,0,0
2016-04-04,23.3,4,13.8,0,0
2016-04-05,26,7,16.8,0,0
2016-04-06,19.3,8.8,12.9,0,0
2016-04-07,20.2,4.2,11.9,5,0
2016-04-08,12.8,8.9,9.8,4,0
2016-04-09,8.9,7,7.6,4.8,0
2016-04-10,7.9,6.3,7.1,1,0
2016-04-11,9.8,6.7,8.3,0,0
2016-04-12,13.4,8.5,10.5,0,0
2016-04-13,19.7,5.5,12.8,0,0
2016-04-14,14.5,6.9,9.8,5.1,0
2016-04-15,15.4,7.7,10.7,0.2,0
2016-04-16,20.3,6.9,12.7,5.7,0
2016-04-17,22.5,5.1,14.5,10.1,0
2016-04-18,16.4,7.6,8.4,0.2,0
2016-04-19,12.6,3.2,8.1,0,0
2016-04-20,11.9,4.7,7.7,0,0
2016-04-21,15,0.8,8.1,0,0
2016-04-22,15.2,1.3,9.2,0,0
