"","Data","startTyg","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Wolne","Rodzaj_opadu","Miejsce","Liczba_rowerow"
"1",2018-07-04,2018-07-02,9.6,19.8,27.8,0,0,"roboczy",FALSE,"s","Bora-Komorowskiego",0
"2",2018-07-05,2018-07-02,11.3,22.3,30.5,0,0,"roboczy",FALSE,"s","Bora-Komorowskiego",0
"3",2018-07-06,2018-07-02,15.9,19.3,27.8,3.1,0,"roboczy",FALSE,"d","Bora-Komorowskiego",465
"4",2018-07-07,2018-07-02,14.7,20.3,25.8,0,0,"weekend",TRUE,"s","Bora-Komorowskiego",842
"5",2018-07-08,2018-07-02,12.2,20,26.2,0,0,"weekend",TRUE,"s","Bora-Komorowskiego",934
"6",2018-07-09,2018-07-09,15.1,21,27.1,0,0,"roboczy",FALSE,"s","Bora-Komorowskiego",1173
"7",2018-07-10,2018-07-09,13.7,19.8,28.7,1.4,0,"roboczy",FALSE,"d","Bora-Komorowskiego",1176
"8",2018-07-11,2018-07-09,16,18.3,23,4.2,0,"roboczy",FALSE,"d","Bora-Komorowskiego",717
"9",2018-07-12,2018-07-09,14.3,18.5,23.5,8.3,0,"roboczy",FALSE,"d","Bora-Komorowskiego",1234
"10",2018-07-13,2018-07-09,14.7,17.9,23.8,6.9,0,"roboczy",FALSE,"d","Bora-Komorowskiego",604
"11",2018-07-14,2018-07-09,15.2,18.5,25.2,4.7,0,"weekend",TRUE,"d","Bora-Komorowskiego",409
"12",2018-07-15,2018-07-09,16.4,20.4,25.6,0,0,"weekend",TRUE,"s","Bora-Komorowskiego",584
"13",2018-07-16,2018-07-16,16.3,19.5,26.1,8.3,0,"roboczy",FALSE,"d","Bora-Komorowskiego",913
"14",2018-07-17,2018-07-16,17.4,18.1,20.8,23.8,0,"roboczy",FALSE,"d","Bora-Komorowskiego",281
"15",2018-07-18,2018-07-16,17.8,19.5,22.4,37.9,0,"roboczy",FALSE,"d","Bora-Komorowskiego",279
"16",2018-07-19,2018-07-16,18.2,18.9,20.8,2.1,0,"roboczy",FALSE,"d","Bora-Komorowskiego",430
