"Data","Bora-Komorowskiego","Bulwary","Dworzec Główny","Klimeckiego","Kopernika","Kotlarska","Mogilska","Monte Cassino","Nowohucka","Smoleńsk","Tyniecka","Wadowicka","Wielicka"
"2018-10-14 00:00:00","696","2214","586","961","1483","1483","1736","1408","518","451","3207","455","773"
"2018-10-13 00:00:00","657","2385","662","835","1364","1274","1654","1301","558","550","2389","500","778"
"2018-10-12 00:00:00","854","2072","1269","1244","2515","2090","2772","1563","643","841","1346","1012","1123"
"2018-10-11 00:00:00","881","1944","1391","1231","2596","2185","2903","1497","650","882","1128","1003","1138"
"2018-10-10 00:00:00","994","2163","1430","1333","2729","2342","3167","1744","680","963","1328","1051","1239"
"2018-10-09 00:00:00","897","1980","1321","1269","2731","2347","3106","1601","634","938","1235","1033","1219"
"2018-10-08 00:00:00","732","1402","1272","1034","2427","1952","2670","1398","501","792","781","946","1029"
"2018-10-07 00:00:00","540","1904","459","753","1167","1053","1345","999","447","507","2035","458","606"
"2018-10-06 00:00:00","660","2344","628","849","1225","1261","1567","1390","512","630","2536","673","795"
"2018-10-05 00:00:00","771","1682","1187","1086","2226","1855","2516","1462","566","882","1242","1031","956"
"2018-10-04 00:00:00","706","1304","1120","989","2112","1777","2445","1247","460","776","805","1103","855"
"2018-10-03 00:00:00","492","889","854","672","1559","1307","1750","997","309","662","461","728","618"
"2018-10-02 00:00:00","348","586","577","484","1090","974","1226","622","253","478","330","479","462"
"2018-10-01 00:00:00","773","1600","1301","1183","2426","2133","2722","1557","546","981","995","1123","996"
"2018-09-30 00:00:00","526","1789","479","734","1094","921","1170","1064","408","523","2137","468","633"
"2018-09-29 00:00:00","355","1052","484","519","944","796","1096","760","346","471","1035","413","511"
"2018-09-28 00:00:00","908","1907","1315","1339","2471","2169","2777","1584","621","894","1377","1082","1107"
"2018-09-27 00:00:00","746","1392","1202","1166","2202","1954","2500","1304","536","823","877","927","973"
"2018-09-26 00:00:00","682","1488","1144","1148","2012","1914","2352","1333","486","812","903","899","859"
"2018-09-25 00:00:00","497","960","964","856","1661","1619","1952","1003","377","694","519","710","750"
"2018-09-24 00:00:00","395","646","727","622","1341","1177","1522","762","304","545","344","595","547"
"2018-09-23 00:00:00","558","1392","407","577","1057","800","1144","953","281","434","1582","352","713"
"2018-09-22 00:00:00","323","627","318","362","579","554","703","508","198","368","631","286","326"
"2018-09-21 00:00:00","1277","2702","1558","1850","3126","2905","3708","2128","897","1087","2127","1336","1477"
"2018-09-20 00:00:00","1422","2871","1811","2122","3510","3427","4157","2582","999","1110","2151","1848","1535"
"2018-09-19 00:00:00","1381","2880","1815","2099","3546","3429","4196","2497","966","1131","2133","1605","1523"
"2018-09-18 00:00:00","1403","2731","1845","2110","3510","3408","4140","2374","918","1148","1994","2178","1552"
"2018-09-17 00:00:00","1340","2444","1777","1903","3211","3018","3743","2197","885","1036","1700","2522","1446"
"2018-09-16 00:00:00","856","3382","717","1521","1818","1687","2051","1932","652","741","4440","871","1047"
"2018-09-15 00:00:00","351","902","336","478","729","638","837","728","301","368","910","626","363"
"2018-09-14 00:00:00","823","1233","1284","1302","2335","1995","2646","1422","528","788","812","1024","973"
"2018-09-13 00:00:00","1436","2399","1927","2173","3497","3254","4158","2394","934","1116","2063","2051","1561"
"2018-09-12 00:00:00","1489","2732","1951","2211","3677","3456","4302","2498","1056","1103","2288","1750","1603"
