"Miejsce","kolor","linia","font","alfa"
"Bora-Komorowskiego","#dd466e","solid","bold",1
"Bulwary","#d38b85","solid","bold",1
"Dworzec Główny","#e25233","solid","bold",1
"Klimeckiego","#a2432c","solid","bold",1
"Kopernika","#693525","solid","bold",1
"Kotlarska","#c48738","solid","bold",1
"Mogilska","#dcc435","solid","bold",1
"Monte Cassino","#c2b47b","solid","bold",1
"Nowohucka","#b3be56","solid","bold",1
"Smoleńsk","#4b5827","solid","bold",1
"Tyniecka","#a4da3f","solid","bold",1
"Wadowicka","#5a9239","solid","bold",1
"Wielicka","#5ad54e","solid","bold",1
