"Data","temp_max","temp_min","temp_avg","opad","rodzaj","deszcz","snieg"
2020-01-01,5.6,0.8,1.4,0,"",0,0
2020-01-02,3.1,-0.5,1.1,0,"",0,0
2020-01-03,2.8,-4.7,0.2,1.1,"W",1.1,0
2020-01-04,5.3,2.2,3.7,1.8,"W",1.8,0
2020-01-05,2.7,-1.1,0.6,0,"",0,0
2020-01-06,1.6,-3.7,-0.1,0,"S",0,0
2020-01-07,2.4,0.7,1,0,"",0,0
2020-01-08,5.8,0,3.3,0.7,"W",0.7,0
2020-01-09,6.6,4.2,5.8,3.9,"W",3.9,0
2020-01-10,9.1,5.8,7.2,0.7,"W",0.7,0
2020-01-11,8.9,4.2,5.6,0,"W",0,0
2020-01-12,5.4,2,3.5,0,"W",0,0
2020-01-13,5.9,2,4.7,0.4,"W",0.4,0
2020-01-14,6.2,1.4,3.4,0,"",0,0
2020-01-15,9.9,1.6,4.7,0,"",0,0
2020-01-16,7.5,0.5,3.8,0,"",0,0
2020-01-17,2.3,-4.6,-0.5,0,"",0,0
2020-01-18,5.2,-0.3,2.7,0,"W",0,0
2020-01-19,5.9,1.4,2.8,0,"",0,0
2020-01-20,3.3,0.1,2,0,"",0,0
2020-01-21,6.2,-0.2,2.3,0,"W",0,0
2020-01-22,5.5,1.1,2.6,0.4,"W",0.4,0
2020-01-23,3.2,-1,0.8,0,"",0,0
2020-01-24,3.8,-1.1,1.2,0,"W",0,0
2020-01-25,1.7,0.1,0.5,0.1,"W",0.1,0
2020-01-26,0.6,-1,-0.1,0,"W",0,0
2020-01-27,5.6,-2.3,0.7,0,"W",0,0
2020-01-28,4.3,-2.2,1.5,1.1,"W",1.1,0
2020-01-29,3.9,0.4,2.3,10.8,"S",0,10.8
2020-01-30,5.3,0.8,3.2,5,"W",5,0
2020-01-31,8.9,2.3,6.3,2.8,"W",2.8,0
2020-02-01,11.7,5.9,9.2,3.8,"W",3.8,0
2020-02-02,10.9,5.3,7.2,0.5,"W",0.5,0
2020-02-03,6.2,2.3,3.7,1.4,"W",1.4,0
2020-02-04,6.1,1.6,4.8,2.2,"S",0,2.2
2020-02-05,3.4,-0.9,0.5,0,"S",0,0
2020-02-06,4,-1.2,1.8,0.9,"S",0,0.9
2020-02-07,4.8,-2.4,-0.3,0,"",0,0
2020-02-08,5.8,-3.9,-0.1,0,"",0,0
2020-02-09,7.3,-3.2,2.2,3,"W",3,0
2020-02-10,10.4,2.7,6,6.1,"S",0,6.1
2020-02-11,6,2.2,3.9,1.1,"S",0,1.1
2020-02-12,5,2.2,3.5,0.2,"S",0,0.2
2020-02-13,6.1,0.7,2.8,0.3,"S",0,0.3
2020-02-14,2.2,0.3,1.2,2.2,"S",0,2.2
2020-02-15,4.3,-0.9,0.8,0,"",0,0
2020-02-16,10.9,-0.1,6.3,0,"W",0,0
2020-02-17,14.3,9.5,10.3,0.5,"W",0.5,0
2020-02-18,11.1,2.9,6.7,1,"S",0,1
2020-02-19,9.5,1.8,4.8,2.2,"W",2.2,0
2020-02-20,6.6,2.6,3.3,0,"W",0,0
2020-02-21,5.6,-0.1,3,3.1,"S",0,3.1
2020-02-22,9.6,0,5.4,0,"W",0,0
2020-02-23,11.1,2.9,5.6,7.8,"W",7.8,0
2020-02-24,5.7,1.1,3.6,2.5,"S",0,2.5
2020-02-25,12.1,1.2,6.5,1.7,"W",1.7,0
2020-02-26,9.5,2.9,5,1.4,"S",0,1.4
2020-02-27,5.2,-0.2,1.2,1,"S",0,1
2020-02-28,5.1,-3.8,1,0.2,"S",0,0.2
2020-02-29,8,-0.9,4,0.1,"W",0.1,0
2020-03-01,11.8,4.3,7.6,0,"",0,0
2020-03-02,8.3,1.5,4.9,4.3,"W",4.3,0
2020-03-03,10.8,0.3,6.5,0.2,"W",0.2,0
2020-03-04,10.3,5,5.6,0,"",0,0
2020-03-05,9,-2.4,4.2,0,"",0,0
2020-03-06,7.1,0.2,4,0.3,"W",0.3,0
2020-03-07,10.1,4.3,5.8,0.1,"W",0.1,0
2020-03-08,6.6,4.1,5,0,"W",0,0
2020-03-09,9.6,-0.6,4.3,0,"",0,0
2020-03-10,10.7,3.3,7,3.7,"W",3.7,0
2020-03-11,12.5,5.8,8.8,0.5,"W",0.5,0
2020-03-12,16.1,1.4,8.7,1.6,"W",1.6,0
2020-03-13,9.5,0.7,5.2,2,"S",0,2
2020-03-14,7.6,-0.9,1.5,0,"S",0,0
2020-03-15,6.8,-7.9,0.2,0,"",0,0
2020-03-16,12.2,-3.3,5.2,0,"",0,0
2020-03-17,14,-0.6,7.1,0,"",0,0
2020-03-18,17.1,2.7,10.4,0,"",0,0
2020-03-19,14.1,2.9,9.4,0,"W",0,0
2020-03-20,10.6,3.4,7.5,0,"W",0,0
2020-03-21,7.8,0.6,3.2,0,"W",0,0
2020-03-22,3.6,-2.3,0.4,0,"S",0,0
2020-03-23,4.3,-4.3,-0.1,0,"",0,0
2020-03-24,6.1,-4.2,0.7,0,"",0,0
2020-03-25,8.4,-4.1,2.1,0,"",0,0
2020-03-26,12.3,-1.4,5.6,0,"",0,0
2020-03-27,15.3,1.1,8.2,0,"",0,0
2020-03-28,17.4,3.4,9.8,0,"",0,0
2020-03-29,13.8,0.1,4.8,0,"S",0,0
2020-03-30,3.9,-3.6,-0.3,0.3,"S",0,0.3
2020-03-31,5.6,-5.1,0.4,0,"",0,0
2020-04-01,7.7,-3.2,2.4,0,"",0,0
2020-04-02,8.4,1,4.7,0,"",0,0
2020-04-03,11.4,0.2,6.6,0,"W",0,0
2020-04-04,10.8,-2.5,5,0,"",0,0
2020-04-05,14.1,-3.9,6.6,0,"",0,0
2020-04-06,19.3,2.1,11.6,0,"",0,0
2020-04-07,21.7,3.8,13.6,0,"",0,0
2020-04-08,19.9,4.1,12.9,0,"",0,0
2020-04-09,22.1,3.5,13.5,0,"",0,0
2020-04-10,15.8,3,9.1,0,"",0,0
2020-04-11,13.8,4,8.6,0,"",0,0
2020-04-12,19.6,2.4,11.7,0,"",0,0
2020-04-13,16.5,3.7,8.4,0.4,"W",0.4,0
2020-04-14,8.5,-1.9,3.7,0,"",0,0
2020-04-15,8.9,1.3,5.4,0,"W",0,0
2020-04-16,17.7,5.5,11.4,0,"",0,0
2020-04-17,15,0.6,8.4,0,"",0,0
2020-04-18,12.7,0.2,6.8,0,"",0,0
2020-04-19,12.3,0.1,6.7,0,"",0,0
2020-04-20,13.4,1.5,8.2,0,"",0,0
2020-04-21,15.7,3.9,10.6,0,"",0,0
2020-04-22,17.5,6.3,12,0,"",0,0
2020-04-23,18.8,5.6,12.7,0,"",0,0
2020-04-24,20.5,3.5,13.9,0,"W",0,0
2020-04-25,16.9,9,10.6,0,"",0,0
2020-04-26,13.9,-0.9,8.8,0,"",0,0
2020-04-27,18.7,0.6,11.8,0,"",0,0
2020-04-28,24,5.4,15.9,0,"",0,0
2020-04-29,18.5,9.6,11.6,7.1,"W",7.1,0
2020-04-30,17,5.9,10.7,0,"",0,0
