"","data","wartosc","status"
"1","2014-07-28 00:00:00",23.6,0
"2","2014-07-29 00:00:00",24,0
"3","2014-07-30 00:00:00",23.3,0
"4","2014-07-31 00:00:00",24.1,0
"5","2014-08-01 00:00:00",21.1,0
"6","2014-08-02 00:00:00",24.8,0
"7","2014-08-03 00:00:00",25.4,0
"8","2014-08-04 00:00:00",24.3,0
"9","2014-08-05 00:00:00",21.7,0
"10","2014-08-06 00:00:00",20.1,0
"11","2014-08-07 00:00:00",21.4,0
"12","2014-08-08 00:00:00",19.1,0
"13","2014-08-09 00:00:00",21,0
"14","2014-08-10 00:00:00",23.5,0
"15","2014-08-11 00:00:00",22.9,0
"16","2014-08-12 00:00:00",19.1,0
"17","2014-08-13 00:00:00",18.8,0
"18","2014-08-14 00:00:00",18.7,0
"19","2014-08-15 00:00:00",18.6,0
"20","2014-08-16 00:00:00",15.4,0
"21","2014-08-17 00:00:00",15.1,0
"22","2014-08-18 00:00:00",18.6,0
"23","2014-08-19 00:00:00",16.2,0
"24","2014-08-20 00:00:00",15.7,0
"25","2014-08-21 00:00:00",12.6,0
"26","2014-08-22 00:00:00",14.6,0
"27","2014-08-23 00:00:00",17,0
"28","2014-08-24 00:00:00",13.7,0
"29","2014-08-25 00:00:00",12.8,0
"30","2014-08-26 00:00:00",12.2,0
"31","2014-08-27 00:00:00",12.6,0
"32","2014-08-28 00:00:00",13.9,0
"33","2014-08-29 00:00:00",16.2,0
"34","2014-08-30 00:00:00",18,0
"35","2014-08-31 00:00:00",18.5,0
"36","2014-09-01 00:00:00",14.9,0
"37","2014-09-02 00:00:00",15.1,0
"38","2014-09-03 00:00:00",15.7,0
"39","2014-09-04 00:00:00",15.9,0
"40","2014-09-05 00:00:00",15,0
"41","2014-09-06 00:00:00",16.2,0
"42","2014-09-07 00:00:00",18,0
"43","2014-09-08 00:00:00",18.7,0
"44","2014-09-09 00:00:00",17.3,0
"45","2014-09-10 00:00:00",14.6,0
"46","2014-09-11 00:00:00",15.4,0
"47","2014-09-12 00:00:00",20.4,0
"48","2014-09-13 00:00:00",20.4,0
"49","2014-09-14 00:00:00",20.5,0
"50","2014-09-15 00:00:00",17.7,0
"51","2014-09-16 00:00:00",14.5,0
"52","2014-09-17 00:00:00",14.6,0
"53","2014-09-18 00:00:00",15.9,0
"54","2014-09-19 00:00:00",15.8,0
"55","2014-09-20 00:00:00",16.4,0
"56","2014-09-21 00:00:00",14.7,0
"57","2014-09-22 00:00:00",13.5,0
"58","2014-09-23 00:00:00",9.4,0
"59","2014-09-24 00:00:00",8.1,0
"60","2014-09-25 00:00:00",10.8,0
"61","2014-09-26 00:00:00",11.1,0
"62","2014-09-27 00:00:00",13.2,0
"63","2014-09-28 00:00:00",12,0
"64","2014-09-29 00:00:00",13.1,0
"65","2014-09-30 00:00:00",15,0
"66","2014-10-01 00:00:00",13.2,0
"67","2014-10-02 00:00:00",12.6,0
"68","2014-10-03 00:00:00",10.7,0
"69","2014-10-04 00:00:00",9.5,0
"70","2014-10-05 00:00:00",9.2,0
"71","2014-10-06 00:00:00",9.5,0
"72","2014-10-07 00:00:00",11.9,0
"73","2014-10-08 00:00:00",13.4,0
"74","2014-10-09 00:00:00",16.6,0
"75","2014-10-10 00:00:00",16.2,0
"76","2014-10-11 00:00:00",15.9,0
"77","2014-10-12 00:00:00",14.1,0
"78","2014-10-13 00:00:00",13.7,0
"79","2014-10-14 00:00:00",15.4,0
"80","2014-10-15 00:00:00",13.9,0
"81","2014-10-16 00:00:00",11.1,0
"82","2014-10-17 00:00:00",11,0
"83","2014-10-18 00:00:00",8.8,0
"84","2014-10-19 00:00:00",12.5,0
"85","2014-10-20 00:00:00",14.8,0
"86","2014-10-21 00:00:00",11.2,0
"87","2014-10-22 00:00:00",10.8,0
"88","2014-10-23 00:00:00",3.8,0
"89","2014-10-24 00:00:00",0.8,0
"90","2014-10-25 00:00:00",0.5,0
"91","2014-10-26 00:00:00",1.8,0
"92","2014-10-27 00:00:00",3,0
"93","2014-10-28 00:00:00",3.8,0
"94","2014-10-29 00:00:00",3.5,0
"95","2014-10-30 00:00:00",3.4,0
"96","2014-10-31 00:00:00",5.3,0
"97","2014-11-01 00:00:00",4.4,0
"98","2014-11-02 00:00:00",5.8,0
"99","2014-11-03 00:00:00",8,0
"100","2014-11-04 00:00:00",8.4,0
"101","2014-11-05 00:00:00",12.1,0
"102","2014-11-06 00:00:00",13.8,0
"103","2014-11-07 00:00:00",10.6,0
"104","2014-11-08 00:00:00",8.5,0
"105","2014-11-09 00:00:00",9,0
"106","2014-11-10 00:00:00",10.6,0
"107","2014-11-11 00:00:00",10.1,0
