"";"Czas";"Data";"Godzina";"wartosc"
"1";2017-05-23 00:00:00;2017-05-23;0;15,1
"2";2017-05-23 01:00:00;2017-05-23;1;14,4
"3";2017-05-23 02:00:00;2017-05-23;2;13,8
"4";2017-05-23 03:00:00;2017-05-23;3;13,5
"5";2017-05-23 04:00:00;2017-05-23;4;12,9
"6";2017-05-23 05:00:00;2017-05-23;5;15
"7";2017-05-23 06:00:00;2017-05-23;6;16,5
"8";2017-05-23 07:00:00;2017-05-23;7;18,3
"9";2017-05-23 08:00:00;2017-05-23;8;19,7
"10";2017-05-23 09:00:00;2017-05-23;9;20,5
"11";2017-05-23 10:00:00;2017-05-23;10;21
"12";2017-05-23 11:00:00;2017-05-23;11;21,8
"13";2017-05-23 12:00:00;2017-05-23;12;22,2
"14";2017-05-23 13:00:00;2017-05-23;13;21,9
"15";2017-05-23 14:00:00;2017-05-23;14;23,2
"16";2017-05-23 15:00:00;2017-05-23;15;22,1
"17";2017-05-23 16:00:00;2017-05-23;16;21,5
"18";2017-05-23 17:00:00;2017-05-23;17;20,3
"19";2017-05-23 18:00:00;2017-05-23;18;19,1
"20";2017-05-23 19:00:00;2017-05-23;19;17,1
"21";2017-05-23 20:00:00;2017-05-23;20;17,5
"22";2017-05-23 21:00:00;2017-05-23;21;15,7
"23";2017-05-23 22:00:00;2017-05-23;22;13,7
"24";2017-05-23 23:00:00;2017-05-23;23;12,6
"25";2017-06-08 00:00:00;2017-06-08;0;12,4
"26";2017-06-08 01:00:00;2017-06-08;1;8,7
"27";2017-06-08 02:00:00;2017-06-08;2;8,6
"28";2017-06-08 03:00:00;2017-06-08;3;8,9
"29";2017-06-08 04:00:00;2017-06-08;4;11,7
"30";2017-06-08 05:00:00;2017-06-08;5;13,9
"31";2017-06-08 06:00:00;2017-06-08;6;16,1
"32";2017-06-08 07:00:00;2017-06-08;7;17,5
"33";2017-06-08 08:00:00;2017-06-08;8;18,3
"34";2017-06-08 09:00:00;2017-06-08;9;19
"35";2017-06-08 10:00:00;2017-06-08;10;19,7
"36";2017-06-08 11:00:00;2017-06-08;11;20
"37";2017-06-08 12:00:00;2017-06-08;12;20
"38";2017-06-08 13:00:00;2017-06-08;13;20,2
"39";2017-06-08 14:00:00;2017-06-08;14;20,3
"40";2017-06-08 15:00:00;2017-06-08;15;20
"41";2017-06-08 16:00:00;2017-06-08;16;19,6
"42";2017-06-08 17:00:00;2017-06-08;17;18,9
