"Czas";"Data";"Godzina";"temperatura";"zachmurzenie"
2017-05-20 00:00:00;2017-05-20;0;14,8;0
2017-05-20 01:00:00;2017-05-20;1;13,8;0
2017-05-20 02:00:00;2017-05-20;2;13;1
2017-05-20 03:00:00;2017-05-20;3;12,9;1
2017-05-20 04:00:00;2017-05-20;4;14,1;1
2017-05-20 05:00:00;2017-05-20;5;16,7;1
2017-05-20 06:00:00;2017-05-20;6;18,5;1
2017-05-20 07:00:00;2017-05-20;7;21,2;0
2017-05-20 08:00:00;2017-05-20;8;23,2;0
2017-05-20 09:00:00;2017-05-20;9;24,1;0
2017-05-20 10:00:00;2017-05-20;10;24,9;1
2017-05-20 11:00:00;2017-05-20;11;25,8;1
2017-05-20 12:00:00;2017-05-20;12;26,7;1
2017-05-20 13:00:00;2017-05-20;13;26,6;2
2017-05-20 14:00:00;2017-05-20;14;26,7;2
2017-05-20 15:00:00;2017-05-20;15;26,7;4
2017-05-20 16:00:00;2017-05-20;16;25,7;4
2017-05-20 17:00:00;2017-05-20;17;25;3
2017-05-20 18:00:00;2017-05-20;18;21,6;4
2017-05-20 19:00:00;2017-05-20;19;20,8;5
2017-05-20 20:00:00;2017-05-20;20;19,3;6
2017-05-20 21:00:00;2017-05-20;21;17,6;6
2017-05-20 22:00:00;2017-05-20;22;16,2;5
2017-05-20 23:00:00;2017-05-20;23;15,8;5
2017-05-23 00:00:00;2017-05-23;0;15,1;7
2017-05-23 00:00:00;2017-05-23;0;15,1;7
2017-05-23 01:00:00;2017-05-23;1;14,4;5
2017-05-23 01:00:00;2017-05-23;1;14,4;5
2017-05-23 02:00:00;2017-05-23;2;13,8;5
2017-05-23 02:00:00;2017-05-23;2;13,8;5
2017-05-23 03:00:00;2017-05-23;3;13,5;5
2017-05-23 03:00:00;2017-05-23;3;13,5;5
2017-05-23 04:00:00;2017-05-23;4;12,9;5
2017-05-23 04:00:00;2017-05-23;4;12,9;5
2017-05-23 05:00:00;2017-05-23;5;15;6
2017-05-23 05:00:00;2017-05-23;5;15;6
2017-05-23 06:00:00;2017-05-23;6;16,5;4
2017-05-23 06:00:00;2017-05-23;6;16,5;4
2017-05-23 07:00:00;2017-05-23;7;18,3;4
2017-05-23 07:00:00;2017-05-23;7;18,3;4
2017-05-23 08:00:00;2017-05-23;8;19,7;5
2017-05-23 08:00:00;2017-05-23;8;19,7;5
2017-05-23 09:00:00;2017-05-23;9;20,5;6
2017-05-23 09:00:00;2017-05-23;9;20,5;6
2017-05-23 10:00:00;2017-05-23;10;21;6
2017-05-23 10:00:00;2017-05-23;10;21;6
2017-05-23 11:00:00;2017-05-23;11;21,8;6
2017-05-23 11:00:00;2017-05-23;11;21,8;6
2017-05-23 12:00:00;2017-05-23;12;22,2;5
2017-05-23 12:00:00;2017-05-23;12;22,2;5
2017-05-23 13:00:00;2017-05-23;13;21,9;5
2017-05-23 13:00:00;2017-05-23;13;21,9;5
2017-05-23 14:00:00;2017-05-23;14;23,2;5
2017-05-23 14:00:00;2017-05-23;14;23,2;5
2017-05-23 15:00:00;2017-05-23;15;22,1;5
2017-05-23 15:00:00;2017-05-23;15;22,1;5
2017-05-23 16:00:00;2017-05-23;16;21,5;5
2017-05-23 16:00:00;2017-05-23;16;21,5;5
2017-05-23 17:00:00;2017-05-23;17;20,3;4
2017-05-23 17:00:00;2017-05-23;17;20,3;4
2017-05-23 18:00:00;2017-05-23;18;19,1;5
2017-05-23 18:00:00;2017-05-23;18;19,1;5
2017-05-23 19:00:00;2017-05-23;19;17,1;3
2017-05-23 19:00:00;2017-05-23;19;17,1;3
2017-05-23 20:00:00;2017-05-23;20;17,5;4
2017-05-23 20:00:00;2017-05-23;20;17,5;4
2017-05-23 21:00:00;2017-05-23;21;15,7;4
2017-05-23 21:00:00;2017-05-23;21;15,7;4
2017-05-23 22:00:00;2017-05-23;22;13,7;3
2017-05-23 22:00:00;2017-05-23;22;13,7;3
2017-05-23 23:00:00;2017-05-23;23;12,6;3
2017-05-23 23:00:00;2017-05-23;23;12,6;3
2017-05-25 00:00:00;2017-05-25;0;12,8;8
2017-05-25 00:00:00;2017-05-25;0;12,8;8
2017-05-25 01:00:00;2017-05-25;1;12,9;8
2017-05-25 01:00:00;2017-05-25;1;12,9;8
2017-05-25 02:00:00;2017-05-25;2;11,4;7
